time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_memory,carts-db_memory,catalogue_memory,catalogue-db_memory,front-end_memory,orders_memory,orders-db_memory,payment_memory,queue-master_memory,rabbitmq_memory,shipping_memory,user_memory,user-db_memory,carts_memory_rss,carts-db_memory_rss,catalogue_memory_rss,catalogue-db_memory_rss,front-end_memory_rss,orders_memory_rss,orders-db_memory_rss,payment_memory_rss,queue-master_memory_rss,rabbitmq_memory_rss,shipping_memory_rss,user_memory_rss,user-db_memory_rss,carts_memory_cache,carts-db_memory_cache,catalogue_memory_cache,catalogue-db_memory_cache,front-end_memory_cache,orders_memory_cache,orders-db_memory_cache,payment_memory_cache,queue-master_memory_cache,rabbitmq_memory_cache,shipping_memory_cache,user_memory_cache,user-db_memory_cache,carts-db_disk,catalogue-db_disk,front-end_disk,orders-db_disk,rabbitmq_disk,user-db_disk,carts_power,carts-db_power,catalogue_power,catalogue-db_power,front-end_power,orders_power,orders-db_power,payment_power,queue-master_power,rabbitmq_power,shipping_power,user_power,user-db_power,145.108.225.16:10684_host_power,145.108.225.17:10684_host_power
1749125690.41,0.02974109178476704,0.012759804436797292,0.029666133287788467,0.01845091955775133,0.11812117652534428,0.001883310586688732,0.005315345500725791,0.0028753854056422236,0.0013557153658756676,0.09306553534337697,0.001762376719311702,0.014829630619054393,0.011397579107968998,23437642.751697667,15645800.217312565,1938303.9456435442,35729661.7385076,4478979.102407331,14559099.87579455,3505007.837445573,1416955.0016422756,106718631.99494722,11318895.926278066,12266241.213400349,1436501.10172754,5299750.552723419,7558.311189843519,296.70409272002894,0,9304823.522929715,185172.6013396361,0,0,251506.14941060543,0,7673147.370730637,0,0,0,0,2002.7526258601954,0,0,0,0,74.31059506531204,0,0,0,0,0,80304.92060881799,0,0,0,0,0,0,0.00592900648080917,0.001559858174332163,0.0027287590543070396,0.0012089812536503776,0.007395430762142675,0.00022026050668310347,0.0005585889274980648,0.00046438591771864353,0.0002083273807703139,0.007653626855981225,0.00024595206548166904,0.0020736789612978966,0.0010360609197286,9.604224927272728,2.798224909090909
1749125695.41,0.03794015309929926,0.015001280439899602,0.03642125023005756,0.023691399742717133,0.151332032110011,0.0019049228127265207,0.005341500071136458,0.002849145429563348,0.0013792639478679908,0.09356521629632224,0.001708918417412046,0.019173733132837142,0.012412554851718155,30668731.369778644,15862637.585371224,1935449.3319100381,35757180.48332261,4380321.989575366,21612767.606652208,2753199.64431798,1391893.5493202198,77151900.43247686,8897904.974043004,12647094.12524209,1795023.9872454526,4315117.947253845,7419.483389486649,451.2007050011015,0,13965316.328218322,194041.37832885634,0,0,249187.15649407,0,7538482.386965816,0,394194.36191028333,0,0,2556.8039950062416,0,0,0,0,72.84367775208963,0,0,0,0,0,78423.46811320081,0,0,0,0,0,0,0.00712434156414239,0.001570296176888019,0.003059663111333491,0.0014174699220694574,0.007652872159317864,0.0002666255829801126,0.0006513190800920832,0.00046180774042836614,0.00020805203296603295,0.007551395457778499,0.00027397827141472714,0.0028269930055486877,0.001088221189812805,9.597057472727272,2.794509436363636
1749125700.41,0.04226815778851821,0.016949625104401816,0.04867694699502816,0.03341856136204016,0.17908852688094956,0.0019475854426382368,0.005299774188993686,0.0024867629769870464,0.0013758919131304551,0.09380074237338117,0.0017450778477492558,0.022732674292487744,0.01362728354052903,37460920.919857666,15689284.962051058,1954807.619118,49975928.60935547,4424553.797694895,21631928.208282825,3407694.44738607,1410381.001396956,70412545.79225603,9134749.3452359,6150871.126899546,1788579.8017526215,4340373.670594999,7251.225945792837,1115.589933543959,0,17354697.908637792,211632.0423795547,0,0,253346.07749430186,0,7738945.4424729785,0,390711.67935641424,73.5843633227939,0,3123.6518139230852,0,0,0,0,72.29340958028874,0,0,0,0,0,79103.19057200344,0,0,0,0,0,0,0.00810999358162041,0.0014902259257131673,0.0036093259616039913,0.0017869663098340123,0.009304648047154633,0.0002318338781712546,0.0006684972895561463,0.00047506898131072884,0.000173260328157175,0.008163839613372147,0.00030767654387085005,0.0029154883772971782,0.0015444636206045483,8.375472509090908,2.239698454545455
1749125705.41,0.04735463292814597,0.01906039529639989,0.060927141855012794,0.036556012933866434,0.21920499296944437,0.0019493046032406554,0.005193741469202922,0.0028033445671880857,0.0014033031914894233,0.09331457691548116,0.0017560609235821876,0.026886639335660885,0.014998178348081497,38915653.17493886,11601961.053837342,1902758.7910023085,54771726.455294624,4589860.053144376,21745310.368659407,3471165.2223940166,1147896.745733565,35186163.64415251,8892330.609972885,12239305.11772371,2228186.058292476,4354366.824661633,7532.319461556851,1319.5876288659792,0,19020092.13268007,256377.91555949216,0,0,0,0,7533224.398915444,0,393645.21556637064,73.81909276046642,0,3738.831615120275,0,0,0,0,0,0,0,0,0,0,79355.5247175014,0,0,0,0,0,0,0.008671697141924672,0.001502339173890353,0.003862455655716642,0.0020778244245713796,0.010482786936921569,0.00023079670076108484,0.0007643056826322504,0.00044399565549892454,0.00016179915744957786,0.008042437921159452,0.00026916164604478193,0.0031032867451672988,0.001582454764083679,9.5509182,2.2285781636363637
1749125710.41,0.05309222956363462,0.021779520998365033,0.07154565314734257,0.04512500319997158,0.2653044177709398,0.001981094218376086,0.005283058025029681,0.0028486148409894332,0.0014002512146842304,0.09280647475454507,0.0017807977309800078,0.030691858690884973,0.016679679862370175,39112572.05167539,11915054.641695308,2437538.144025945,53967601.353975914,4658889.389857224,21827088.011391643,4228529.752443592,1101528.7259421356,70947186.75544359,11399717.206697736,12566817.177104525,1795985.6735618743,4471973.065966185,7115.973903561462,2333.731551765333,0,18741683.147439096,335946.9217939554,0,0,0,0,7726543.739753531,0,397594.3279000073,75.77046875578084,0,4441.618114650149,0,0,0,0,0,0,0,0,0,0,81453.25391246441,0,0,0,0,0,0,0.010231332867411723,0.0016022695767286131,0.004367860919633588,0.0024637690082438615,0.01093125252221155,0.0003306736462308876,0.0007394201141095093,0.0003580596345479725,0.00018489547548732196,0.008242365159704248,0.00023003271565117146,0.003021118470487531,0.0020710133199946497,9.51095298181818,2.222877509090909
1749125715.41,0.057715690386904404,0.02376561833527539,0.08301984846999835,0.05289506129696109,0.2970252296472718,0.0019777271596360976,0.005354340653792747,0.002754165232701434,0.0014175398194288895,0.09311854047719301,0.0017910055305655848,0.03409978114278496,0.018112824618558617,46448332.79063386,11980196.72373354,2867750.117971614,53123508.0946224,4727713.052537579,29163936.6287366,4173250.969149492,1114779.3509039422,72495803.17378594,9066312.354653824,12640257.208170487,2190919.652961147,5248122.785107963,7043.336687094118,2345.0237316933535,0,18451505.472292535,351976.1869325792,0,0,0,0,5760996.136309535,0,390830.9892044332,74.13440480715282,0,4992.631170701978,0,0,0,0,0,0,0,0,0,0,79694.48516768929,0,0,0,0,0,0,0.015469319626880878,0.0022785728169497587,0.0044322360597551,0.0025827019841908184,0.01135534124007466,0.00038002370299926254,0.0007970933090552293,0.00047077685231718374,0.00018348145453193944,0.010464431795002985,0.0002626740354647407,0.0029342786136432684,0.0019741824202483024,9.469939109090909,2.1998538363636366
1749125720.41,0.08161968240327878,0.02606517436436308,0.09699196812538692,0.06401473157003097,0.3366330121085515,0.001981789518127231,0.005303000580056914,0.0023090200838026534,0.0014157529030465645,0.09341286603991009,0.0017697441225210837,0.03777000931531629,0.019342468472080383,37425936.20482354,11729353.539006835,2881008.919794663,53137722.7899521,4580872.311423463,21948093.620927032,4893490.093715446,1378871.2613784135,36508449.44902307,9056105.938946098,12486262.12372298,1753161.801801802,4403618.020119552,6807.836480656341,2296.2132446019746,0,18457554.76619852,403951.49498132383,0,0,0,0,3837457.4652936547,0,393216,74.64644991981339,0,5777.568808998517,0,0,0,0,0,0,0,0,0,0,80244.9336637994,0,0,0,0,0,0,0.015110339089526022,0.002938511829776936,0.0052655886429791455,0.002903031741733126,0.011830203963857575,0.0003548851350458613,0.0008259306278725638,0.0004835738757204406,0.00014277262598700677,0.010914659403731646,0.00024251165204673434,0.004077052626805817,0.0019622201587131184,8.166123181818183,1.5834721272727272
1749125725.41,0.07543586257951289,0.027389594886977783,0.11332827314966677,0.07408840327958911,0.3692739461060445,0.00199651802683957,0.005187787059666662,0.0025680519494449107,0.0014232414175375252,0.09173600027060706,0.0017747722212247824,0.04149320564567636,0.020614570351622823,45619831.09929205,7909142.992891472,2888515.141576473,53453025.13741297,4670913.642868788,21683320.710917663,4960752.090262592,1091017.0006614348,71649889.46842344,8929311.035341237,12312124.402944874,2198630.3609380396,5240051.342312211,1913.537212060229,2320.3406246002596,0,23205063.24661048,428217.1699788047,0,0,0,0,3782912.5218740418,0,396571.906050753,74.0486305703697,0,6212.524898123276,0,0,0,0,0,0,0,0,0,0,79528.22923257705,0,0,0,0,0,0,0.014997491640847807,0.0028953925402269765,0.0049152163148418766,0.003042733242047168,0.011956885622165484,0.00044382553264093707,0.0008859434827198243,0.00044098536605273307,0.00018301144085235106,0.013319245070543417,0.00029383454529284596,0.004380934687217788,0.0020042630994930198,9.420570872727273,2.3938417636363636
1749125730.41,0.08190258502870097,0.030470667173311296,0.12857100070766267,0.08257817890295299,0.4104641064996235,0.0020450665992418544,0.005190608506037845,0.0026368022207947195,0.0014309731204306514,0.0931271541397362,0.0018299825613965434,0.04716457271473258,0.022604715682354587,37599200.01421439,7834991.49567546,2877701.8018181487,61102656.396444924,4718638.530395081,20153700.868099447,4238755.428508603,841301.9363127466,71700783.18117337,8910516.28350766,12390738.637801109,1746443.0407318664,5265254.297655824,0,2371.6570766836753,0,22740503.671783824,489305.388791027,0,0,0,0,3775086.323293787,0,396722.8635736586,74.43212793021988,0,7337.314080990121,0,0,0,0,0,0,0,0,0,0,80014.53752498637,0,0,0,0,0,0,0.016541987605677076,0.002754966995649484,0.0049562267759196525,0.00313081565090912,0.011091014073973742,0.0004546073406713268,0.0008647425276629652,0.0004516059283491848,0.00015353312699373258,0.013937388230442375,0.0003044551075892978,0.005670982841220266,0.002758727973592804,8.105132218181819,2.5565746363636364
1749125735.41,0.08960273675262094,0.03287910743892665,0.14535748333030665,0.09312231487607821,0.4479629789627457,0.002025479252495342,0.005182503984137732,0.00258181075560381,0.001427684783409487,0.09269471925095096,0.0017798146382855676,0.05076020515282682,0.02413733989067076,46928781.59135015,11806454.915648634,2883265.6618848736,70304041.07236473,663617.823228634,14791997.92153806,3573032.0954710552,1103150.831525669,108917872.40312362,8958360.340148361,12379179.981584793,1745918.79404997,4413288.918953507,0,2382.780686445608,0,22895601.13527487,625021.4755295836,0,0,0,0,3797192.8351727882,0,398668.52680593554,74.88527707186866,0,8116.346713205352,0,0,0,0,0,0,0,0,0,0,80501.67285225881,0,0,0,0,0,0,0.017245347007766428,0.0028816941457019364,0.005059729415105814,0.0032283983204295097,0.011513640851903567,0.0004245350650859186,0.0008317550682128959,0.0005141231779198888,0.00024476137340061866,0.016101066434360482,0.0003020415076284935,0.006122554650997304,0.00256218328985381,9.346551690909092,2.538478709090909
