simulator,mean,median,std,min,max
CloudSim,2.8063066789923736,2.782,0.496893143383024,2.097,6.906
DISSECT-CF,3.6294161458333334,3.4245,0.9112973531647863,2.247,8.118
NetworkCloudSim,3.2255521146290733,3.008,0.7136228315035931,2.226,8.137
OpenDC,0.4928635416666666,0.47950000000000004,0.038377351976761814,0.43275,0.591125
SimGrid,0.03728229166666666,0.051,0.02303006411371009,0.013,0.138
SimGrid with communication,12.023147916666666,0.3055,25.608963402102084,0.072,94.475
