Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1749827729,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1749827730,5,,Aggregated,0.000000,0.000000,130,140,140,150,160,160,160,160,160,160,160,10,0,24,78.74918384477496,8.03820975124836,160.70949379354715,1313.0
1749827731,10,,Aggregated,0.000000,0.000000,130,140,140,140,150,160,160,160,160,160,160,20,0,24,76.4353369595483,5.294519010931253,160.70949379354715,1313.0
1749827732,15,,Aggregated,0.000000,0.000000,130,140,140,140,150,150,160,160,160,160,160,30,0,24,75.6603554977725,5.276226904243231,160.70949379354715,1313.0
1749827733,20,,Aggregated,10.000000,0.000000,130,140,140,140,150,150,160,160,160,160,160,40,0,24,74.85581149812788,5.276226904243231,160.70949379354715,1313.0
1749827734,25,,Aggregated,10.000000,0.000000,130,140,140,140,140,150,160,160,160,160,160,50,0,24,74.51864291913807,5.276226904243231,160.70949379354715,1313.0
1749827735,30,,Aggregated,10.000000,0.000000,130,140,140,140,140,150,150,160,160,160,160,60,0,24,74.28469713777304,5.276226904243231,160.70949379354715,1313.0
1749827736,35,,Aggregated,10.000000,0.000000,130,140,140,140,140,150,150,160,160,160,160,70,0,24,74.49004799792809,5.276226904243231,160.70949379354715,1313.0
1749827737,40,,Aggregated,10.000000,0.000000,130,140,140,140,140,150,160,160,160,160,160,80,0,24,74.55046506365761,4.665947984904051,160.70949379354715,1313.0
1749827738,45,,Aggregated,10.000000,0.000000,130,140,140,140,140,150,160,160,160,160,160,90,0,24,74.7452438602017,4.665947984904051,160.70949379354715,1313.0
1749827739,50,,Aggregated,10.000000,0.000000,130,140,140,140,150,150,160,160,160,160,160,100,0,24,74.84988435171545,4.665947984904051,162.96503972262144,1313.0
1749827740,55,,Aggregated,10.000000,0.000000,130,140,140,140,140,150,160,160,160,160,160,110,0,24,74.71071576953612,4.665947984904051,162.96503972262144,1313.0
1749827741,60,,Aggregated,10.000000,0.000000,130,140,140,140,150,150,160,160,160,160,160,120,0,24,74.80442257365212,4.665947984904051,162.96503972262144,1313.0
1749827742,65,,Aggregated,10.000000,0.000000,130,140,140,140,140,150,160,160,160,160,160,130,0,24,74.69477985913937,4.665947984904051,162.96503972262144,1313.0
1749827743,70,,Aggregated,10.000000,0.000000,130,140,140,140,140,150,160,160,160,160,160,140,0,36,74.96355886770678,4.665947984904051,162.96503972262144,1313.0
1749827744,75,,Aggregated,10.000000,0.000000,130,140,140,140,140,150,160,160,160,160,160,150,0,36,74.74372981116176,4.665947984904051,162.96503972262144,1313.0
1749827745,80,,Aggregated,10.000000,0.000000,130,140,140,140,140,150,160,160,160,160,160,160,0,36,74.63932995160576,4.665947984904051,162.96503972262144,1313.0
1749827746,85,,Aggregated,10.000000,0.000000,130,140,140,140,140,150,160,160,160,160,160,170,0,36,74.82513606767444,3.3094240352511406,162.96503972262144,1313.0
1749827747,90,,Aggregated,10.000000,0.000000,130,140,140,140,140,150,160,160,160,160,160,180,0,36,74.73817921450569,3.3094240352511406,162.96503972262144,1313.0
1749827748,95,,Aggregated,10.000000,0.000000,130,140,140,140,140,150,160,160,160,160,160,190,0,36,74.64159296727495,3.3094240352511406,162.96503972262144,1313.0
1749827749,100,,Aggregated,10.000000,0.000000,110,140,140,140,140,150,160,160,160,160,160,200,0,36,74.37987240962684,3.3094240352511406,162.96503972262144,1313.0
1749827750,105,,Aggregated,10.000000,0.000000,110,140,140,140,140,150,150,160,160,160,160,210,0,36,74.3088576853985,3.3094240352511406,162.96503972262144,1313.0
1749827751,110,,Aggregated,10.000000,0.000000,110,140,140,140,140,150,150,160,160,160,160,220,0,36,74.30913614066826,3.3094240352511406,162.96503972262144,1313.0
1749827752,115,,Aggregated,10.000000,0.000000,110,140,140,140,140,150,150,160,160,160,160,230,0,36,74.06920844324581,3.3094240352511406,162.96503972262144,1313.0
1749827753,120,,Aggregated,10.000000,0.000000,110,140,140,140,140,150,150,160,160,160,160,240,0,36,74.07913050653103,3.3094240352511406,162.96503972262144,1313.0
1749827754,125,,Aggregated,10.000000,0.000000,110,140,140,140,140,150,150,160,160,160,160,250,0,36,74.02473696321249,3.3094240352511406,162.96503972262144,1313.0
1749827755,130,,Aggregated,10.000000,0.000000,110,140,140,140,140,150,150,160,160,160,160,260,0,36,73.98581232768126,3.3094240352511406,162.96503972262144,1313.0
1749827756,135,,Aggregated,10.000000,0.000000,110,140,140,140,140,150,160,160,170,170,170,270,0,36,74.20154512963362,3.3094240352511406,166.59625200554729,1313.0
1749827757,140,,Aggregated,10.000000,0.000000,110,140,140,140,140,150,160,160,170,170,170,280,0,36,74.20520208709475,3.3094240352511406,166.59625200554729,1313.0
1749827758,145,,Aggregated,10.000000,0.000000,110,140,140,140,140,150,160,160,170,170,170,290,0,36,74.14525536306459,3.3094240352511406,166.59625200554729,1313.0
1749827759,150,,Aggregated,10.000000,0.000000,110,140,140,140,140,150,160,160,170,170,170,300,0,36,74.00355158528934,3.3094240352511406,166.59625200554729,1313.0
1749827760,155,,Aggregated,10.000000,0.000000,110,140,140,140,140,150,150,160,170,170,170,310,0,36,74.00267767990309,3.3094240352511406,166.59625200554729,1313.0
1749827761,160,,Aggregated,10.000000,0.000000,110,140,140,140,140,150,150,160,170,170,170,320,0,36,74.00755472481251,3.3094240352511406,166.59625200554729,1313.0
1749827762,165,,Aggregated,10.000000,0.000000,110,140,140,140,140,150,150,160,170,170,170,330,0,36,73.837739165703,3.3094240352511406,166.59625200554729,1313.0
1749827763,170,,Aggregated,10.000000,0.000000,100,140,140,140,140,150,150,160,170,170,170,340,0,36,73.7057419754017,3.3094240352511406,166.59625200554729,1313.0
1749827764,175,,Aggregated,10.000000,0.000000,100,140,140,140,140,150,150,160,170,170,170,350,0,36,73.70998581738344,3.3094240352511406,166.59625200554729,1313.0
1749827765,180,,Aggregated,10.000000,0.000000,100,130,140,140,140,150,150,160,170,170,170,360,0,36,73.65553594039132,3.3094240352511406,166.59625200554729,1313.0
1749827766,185,,Aggregated,10.000000,0.000000,100,140,140,140,140,150,150,160,170,170,170,370,0,36,73.71009842970886,3.3094240352511406,166.59625200554729,1313.0
1749827767,190,,Aggregated,10.000000,0.000000,100,140,140,140,140,150,150,160,170,170,170,380,0,36,73.7091787416782,3.3094240352511406,166.59625200554729,1313.0
1749827768,195,,Aggregated,10.000000,0.000000,100,140,140,140,140,150,150,160,170,170,170,390,0,36,73.64645197103994,3.3094240352511406,166.59625200554729,1313.0
1749827769,200,,Aggregated,10.000000,0.000000,100,130,140,140,140,150,150,160,170,170,170,400,0,36,73.57259562239051,3.3094240352511406,166.59625200554729,1313.0
1749827770,205,,Aggregated,10.000000,0.000000,100,130,140,140,140,150,150,160,170,170,170,410,0,36,73.54940932993664,3.3094240352511406,166.59625200554729,1313.0
1749827771,210,,Aggregated,10.000000,0.000000,100,140,140,140,140,150,150,160,170,170,170,420,0,36,73.59607084986887,3.3094240352511406,166.59625200554729,1313.0
1749827772,215,,Aggregated,10.000000,0.000000,100,130,140,140,140,150,150,160,170,170,170,430,0,36,73.50667682801222,3.3094240352511406,166.59625200554729,1313.0
1749827773,220,,Aggregated,10.000000,0.000000,100,130,140,140,140,150,150,160,170,170,170,440,0,36,73.51194605210118,3.3094240352511406,166.59625200554729,1313.0
1749827774,225,,Aggregated,10.000000,0.000000,100,130,140,140,140,150,150,160,170,170,170,450,0,52,73.62182885097961,3.3094240352511406,166.59625200554729,1313.0
1749827775,230,,Aggregated,10.000000,0.000000,100,130,140,140,140,150,150,160,170,170,170,460,0,52,73.60830173078601,3.3094240352511406,166.59625200554729,1313.0
1749827776,235,,Aggregated,10.000000,0.000000,100,130,140,140,140,150,150,160,170,170,170,470,0,52,73.60686049400333,3.3094240352511406,166.59625200554729,1313.0
1749827777,240,,Aggregated,10.000000,0.000000,100,130,140,140,140,150,150,160,170,170,170,480,0,52,73.58357042636878,3.3094240352511406,166.59625200554729,1313.0
1749827778,245,,Aggregated,10.000000,0.000000,100,130,140,140,140,150,150,160,170,170,170,490,0,52,73.56593443118796,3.3094240352511406,166.59625200554729,1313.0
1749827779,250,,Aggregated,10.000000,0.000000,100,130,140,140,140,150,150,160,170,170,170,500,0,52,73.71488552819937,3.3094240352511406,166.59625200554729,1313.0
1749827780,255,,Aggregated,10.000000,0.000000,100,130,140,140,140,150,150,160,170,170,170,510,0,52,73.7188830496926,3.3094240352511406,166.59625200554729,1313.0
1749827781,260,,Aggregated,10.000000,0.000000,100,130,140,140,140,150,150,160,170,170,170,520,0,52,73.7196592354359,3.3094240352511406,166.59625200554729,1313.0
1749827782,265,,Aggregated,10.000000,0.000000,100,130,140,140,140,150,150,160,170,170,170,530,0,52,73.66310570143023,3.3094240352511406,166.59625200554729,1313.0
1749827783,270,,Aggregated,10.000000,0.000000,100,130,140,140,140,150,150,160,170,170,170,540,0,52,73.63183570905002,3.3094240352511406,166.59625200554729,1313.0
1749827784,275,,Aggregated,10.000000,0.000000,100,130,140,140,140,150,150,160,170,170,170,550,0,52,73.5828294638883,3.3094240352511406,166.59625200554729,1313.0
1749827785,280,,Aggregated,10.000000,0.000000,100,130,140,140,140,150,150,160,170,170,170,560,0,52,73.56260848048676,3.3094240352511406,166.59625200554729,1313.0
1749827786,285,,Aggregated,10.000000,0.000000,100,130,140,140,140,150,150,160,170,170,170,570,0,52,73.47622477906968,3.3094240352511406,166.59625200554729,1313.0
1749827787,290,,Aggregated,10.000000,0.000000,100,130,140,140,140,150,150,160,170,170,170,580,0,52,73.50076738793146,3.3094240352511406,166.59625200554729,1313.0
1749827788,295,,Aggregated,10.000000,0.000000,100,130,140,140,140,150,150,160,170,170,170,590,0,52,73.4885097560236,3.3094240352511406,166.59625200554729,1313.0
1749827789,300,,Aggregated,10.000000,0.000000,100,130,140,140,140,150,150,160,170,170,170,600,0,52,73.49182940631484,3.177335951477289,166.59625200554729,1313.0
1749827790,305,,Aggregated,10.000000,0.000000,31,130,140,140,140,150,160,160,60000,60000,60000,645,5,31,536.0494920312492,1.4005429111421108,60007.739446125925,2757.520930232558
1749827791,310,,Aggregated,10.000000,0.000000,28,130,140,140,140,150,160,60000,60000,60000,60000,690,10,27,938.3496528160691,1.2236051261425018,60007.739446125925,4014.3826086956524
1749827792,315,,Aggregated,10.000000,0.000000,24,130,140,140,140,150,60000,60000,60000,60000,60000,735,15,24,1291.5743106006817,1.2236051261425018,60007.739446125925,5117.427210884353
1749827793,320,,Aggregated,13.500000,0.500000,20,130,140,140,140,150,60000,60000,60000,60000,60000,780,20,20,1603.9343647879716,1.2236051261425018,60012.30632606894,6093.21282051282
1749827794,325,,Aggregated,17.000000,1.000000,16,130,140,140,140,150,60000,60000,60000,60000,60000,825,25,16,1882.194240653718,1.2236051261425018,60012.30632606894,6962.259393939394
1749827795,330,,Aggregated,20.500000,1.500000,16,130,140,140,140,150,60000,60000,60000,60000,60000,870,30,16,2131.60806475903,1.2166881933808327,60012.30632606894,7741.418390804598
1749827796,335,,Aggregated,24.000000,2.000000,15,130,140,140,140,160,60000,60000,60000,60000,60000,915,35,15,2356.6840212893944,1.2166881933808327,60012.30632606894,8443.851366120218
1749827797,340,,Aggregated,27.500000,2.500000,15,130,140,140,140,160,60000,60000,60000,60000,60000,960,40,15,2560.463945225638,1.2166881933808327,60012.30632606894,9080.814583333333
1749827798,345,,Aggregated,31.000000,3.000000,14,130,140,140,140,160,60000,60000,60000,60000,60000,1005,45,14,2746.0579983806656,1.2166881933808327,60012.30632606894,9660.39800995025
1749827799,350,,Aggregated,34.500000,3.500000,14,130,140,140,140,190,60000,60000,60000,60000,60000,1050,50,14,2915.713127455452,1.1368622072041035,60012.30632606894,10190.558095238095
1749827800,355,,Aggregated,38.000000,4.000000,14,130,140,140,150,60000,60000,60000,60000,60000,60000,1095,55,14,3071.5578049578658,1.1368622072041035,60012.30632606894,10677.256621004566
1749827801,360,,Aggregated,41.500000,4.500000,14,130,140,140,150,60000,60000,60000,60000,60000,60000,1140,60,14,3214.992342620124,1.1368622072041035,60012.30632606894,11125.411403508771
1749827802,365,,Aggregated,45.000000,5.000000,14,130,140,140,150,60000,60000,60000,60000,60000,60000,1185,65,14,3347.6144761617297,1.1368622072041035,60016.79902197793,11539.395780590718
1749827803,370,,Aggregated,45.000000,5.000000,14,130,140,140,150,60000,60000,60000,60000,60000,60000,1230,70,14,3470.402516248235,1.1368622072041035,60016.79902197793,11923.129268292683
1749827804,375,,Aggregated,45.000000,5.000000,14,130,140,140,150,60000,60000,60000,60000,60000,60000,1275,75,14,3584.4800028135523,1.1368622072041035,60016.79902197793,12279.814901960784
1749827805,380,,Aggregated,45.000000,5.000000,14,130,140,140,150,60000,60000,60000,60000,60000,60000,1320,80,14,3690.860501488064,1.1368622072041035,60016.79902197793,12612.209848484848
1749827806,385,,Aggregated,45.000000,5.000000,14,130,140,140,150,60000,60000,60000,60000,60000,60000,1365,85,14,3790.218742557839,1.1368622072041035,60016.79902197793,12922.606593406594
1749827807,390,,Aggregated,45.000000,5.000000,14,130,140,140,150,60000,60000,60000,60000,60000,60000,1410,90,14,3883.546114619491,1.1368622072041035,60016.79902197793,13213.425531914894
1749827808,395,,Aggregated,45.000000,5.000000,14,130,140,140,150,60000,60000,60000,60000,60000,60000,1455,95,14,3970.8729956436687,1.1368622072041035,60016.79902197793,13486.101030927835
