Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/adminlogin.html,5114,1318,65,317.3358432758646,1.1454680934548378,1886.7962160147727,1696.1008994915917,16.56300290701303,4.268681625233315,65,260,640,770,1000,1200,1300,1500,1800,1900,1900
GET,/api/v1/adminorderservice/adminorder,3094,3094,60000.0,35885.85131502698,0.993174035102129,61143.684681970626,113.01551389786684,10.020713921450588,10.020713921450588,60000,60000,60000,60000,60000,60000,60000,60000,61000,61000,61000
GET,/api/v1/adminuserservice/users,3086,806,110.0,347.8846480653151,0.9451629593968391,1888.714028056711,119861.93065456902,9.994803866062222,2.610438080377884,110,300,680,800,1100,1200,1400,1400,1700,1900,1900
POST,/api/v1/travel2service/trips/left,17904,7306,48,72.74929045237516,0.8953595533967018,1582.7880650758743,25.937667560321717,57.98670395916333,23.66235808342534,48,68,76,80,95,240,300,740,1400,1600,1600
POST,/api/v1/travelservice/trips/left,26095,8180,68,219.44776761732263,0.8816593326628208,1828.7273882888258,29.896570224180877,84.51536191992666,26.493031634604336,68,85,170,330,830,1000,1200,1300,1500,1800,1800
POST,/api/v1/users/login,9683,3013,180.0,293.53785096337515,0.9518340229988098,1968.3585767634213,234.95239078797894,31.360883290693614,9.758374610643381,180,210,280,390,920,1100,1300,1400,1600,2000,2000
GET,/api/v1/verifycode/generate,30731,9829,56,205.26224862461575,0.9842119179666042,1851.540869101882,850.1514431681364,99.53023901748482,31.833741801531296,56,68,98,290,840,1000,1200,1300,1500,1800,1900
GET,/client_login.html,4590,1250,63,301.05039392575657,0.9255469776690006,1859.746813774109,8907.394335511983,14.865894279075048,4.048446154432202,63,260,600,730,980,1100,1200,1300,1500,1900,1900
GET,/index.html,26189,7879,81,360.8460387786422,0.9199981577694416,1897.2617061808705,12674.163961968765,84.81980507073996,25.51816580061706,81,510,720,810,1000,1200,1300,1400,1700,1900,1900
,Aggregated,126486,42675,64,1112.6804838355522,0.8816593326628208,61143.684681970626,6177.534707398448,409.6574082316093,138.2139517123154,64,100,280,550,930,1100,1400,60000,60000,60000,61000
