Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,9548,0,24,33.602876806535896,1.747017027810216,252.31269584037364,8649.0,37.72664002297323,0.0,24,40,51,58,75,91,110,140,210,250,250
GET,/basket.html,8675,0,27,37.40242505867453,1.620180904865265,287.88928291760385,23388.0,34.27718917043284,0.0,27,46,58,66,85,100,130,150,210,290,290
POST,/cart,53594,0,77,95.40673196340789,16.450641211122274,399.5884167961776,0.0,211.76388200578418,0.0,77,120,140,160,190,220,250,270,370,390,400
GET,/catalogue,9423,0,50,58.83555317021927,4.150288878008723,276.21680800803006,2795.0,37.23273239803904,0.0,50,71,89,100,130,150,180,200,260,280,280
GET,/category.html,9431,0,25,35.71200542188565,1.6397261060774326,227.15625306591392,11518.0,37.26434248603483,0.0,25,44,55,63,80,95,110,140,200,230,230
GET,/login,9536,0,96,116.01732075838459,41.22936283238232,386.9997530709952,13.0,37.67922489097955,0.0,96,130,160,170,210,230,260,290,380,390,390
POST,/orders,8548,8548,120.0,146.36249897328665,19.40004201605916,481.1758289579302,227.0,33.7753790234997,33.7753790234997,120,170,200,220,270,300,330,370,450,480,480
,Aggregated,108755,8548,63,82.82092639981681,1.620180904865265,481.1758289579302,3884.8738816606133,429.71938999774335,33.7753790234997,63,94,120,140,180,220,260,280,380,450,480
