Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1749179510,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1749179511,5,,Aggregated,0.000000,0.000000,63,65,66,66,67,67,67,67,67,67,67,10,0,24,43.927493947558105,21.579265128821135,66.81099906563759,4331.0
1749179512,10,,Aggregated,0.000000,0.000000,52,63,65,65,66,66,67,67,67,67,67,26,0,24,38.474424921262724,7.05504696816206,66.81099906563759,4983.038461538462
1749179513,15,,Aggregated,0.000000,0.000000,23,63,65,66,67,67,69,69,69,69,69,43,0,23,34.932705969008246,2.0023458637297153,69.05411300249398,5259.813953488372
1749179514,20,,Aggregated,10.000000,0.000000,14,53,62,63,66,67,68,69,69,69,69,68,0,13,31.11309032572214,2.0023458637297153,69.05411300249398,5683.117647058823
1749179515,25,,Aggregated,13.000000,0.000000,13,52,61,62,66,68,69,69,69,69,69,96,0,12,29.27393765033533,2.0023458637297153,69.46633895859122,5952.177083333333
1749179516,30,,Aggregated,14.333333,0.000000,12,51,60,62,66,68,69,69,69,69,69,118,0,12,28.605249167767244,2.0023458637297153,69.46633895859122,6045.9915254237285
1749179517,35,,Aggregated,17.000000,0.000000,11,49,54,61,66,68,69,69,71,71,71,156,0,11,27.0655014558146,2.0023458637297153,70.99143113009632,6299.865384615385
1749179518,40,,Aggregated,19.200000,0.000000,10,24,53,59,65,67,69,69,71,71,71,188,0,10,25.7262421581161,2.0023458637297153,70.99143113009632,6397.75
1749179519,45,,Aggregated,19.666667,0.000000,10,16,53,57,65,67,69,69,71,71,71,229,0,10,24.66722550663658,2.0023458637297153,70.99143113009632,6536.270742358079
1749179520,50,,Aggregated,22.285714,0.000000,10,14,52,55,65,67,69,72,74,74,74,272,0,10,24.194699801121125,2.0023458637297153,73.81529803387821,6612.988970588235
