Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/adminlogin.html,178,0,6,7.198139224620013,1.2935181148350239,37.62657893821597,2285.0,0.6175899992964091,0.0,6,8,9,10,13,15,24,35,38,38,38
GET,/api/v1/adminorderservice/adminorder,151,151,60001.56064098701,60006.04959203251,60001.56064098701,60015.495197847486,189.0,0.5239106173806617,0.5239106173806617,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
GET,/api/v1/adminuserservice/users,151,0,35,37.95755480644324,20.240779034793377,75.12593409046531,160776.0,0.5239106173806617,0.0,35,43,46,48,53,59,63,73,75,75,75
POST,/api/v1/travel2service/trips/left,487,0,38,83.41400904171704,21.559043787419796,302.9866460710764,175.38603696098562,1.6896984812210745,0.0,38,120,140,150,170,250,280,300,300,300,300
POST,/api/v1/travelservice/trips/left,701,214,2000.0,21526.92416476381,23.26813293620944,60018.92293803394,84.09700427960057,2.4321943230718133,0.742495841850739,2000,50000,60000,60000,60000,60000,60000,60000,60000,60000,60000
POST,/api/v1/users/login,329,0,130.0,135.34891211334332,103.6050240509212,166.2680609151721,339.16413373860183,1.1415006166770707,0.0,130,140,140,140,140,150,160,160,170,170,170
GET,/api/v1/verifycode/generate,925,0,6,6.172735777154967,3.033242654055357,35.83651687949896,1248.225945945946,3.209386232298755,0.0,6,7,7,7,7,8,9,13,36,36,36
GET,/client_login.html,151,0,3,3.7132660142880005,1.0906439274549484,9.956043679267168,12241.0,0.5239106173806617,0.0,3,4,5,5,6,7,8,9,10,10,10
GET,/index.html,774,0,4,4.1133056651050035,1.4587300829589367,11.994998902082443,18128.0,2.6854756149180936,0.0,4,5,5,5,6,7,8,9,12,12,12
,Aggregated,3847,365,8,6304.368802778663,1.0906439274549484,60018.92293803394,10918.239407330388,13.347577119625202,1.2664064592314008,8,37,130,140,52000,60000,60000,60000,60000,60000,60000
