Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1879,0,5,5.31384967735405,1.7360278870910406,47.321296064183116,8649.0,6.084191501651484,0.0,5,5,6,7,9,11,13,15,35,47,47
GET,/basket.html,1790,0,5,5.025735064201556,1.985752023756504,27.884321054443717,23388.0,5.79600999891227,0.0,5,5,6,6,7,9,10,13,27,28,28
POST,/cart,10984,0,26,27.421911603400453,15.821648994460702,86.17788017727435,0.0,35.56613063019686,0.0,26,28,30,31,34,38,45,49,62,71,86
GET,/catalogue,1862,0,8,16.471943989592162,4.551989957690239,60.14711502939463,2795.0,6.029145596633881,0.0,8,10,12,17,50,52,54,57,60,60,60
GET,/category.html,1863,0,5,5.42855311534555,1.780940918251872,30.044103041291237,11518.0,6.032383591046681,0.0,5,6,6,7,8,10,12,14,20,30,30
GET,/login,1878,0,57,57.9403360824064,50.10171886533499,85.57445998303592,13.0,6.080953507238683,0.0,57,58,59,60,63,66,72,76,85,86,86
POST,/orders,1779,1779,70,67.21135769369204,19.76171205751598,119.99122006818652,227.0,5.760392060371468,5.760392060371468,70,71,72,73,76,79,85,91,100,120,120
,Aggregated,22035,1779,25,26.74600304165039,1.7360278870910406,119.99122006818652,3866.873700930338,71.34920688605132,5.760392060371468,25,28,32,38,59,69,73,76,89,100,120
