time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_memory,carts-db_memory,catalogue_memory,catalogue-db_memory,front-end_memory,orders_memory,orders-db_memory,payment_memory,queue-master_memory,rabbitmq_memory,shipping_memory,user_memory,user-db_memory,carts_memory_rss,carts-db_memory_rss,catalogue_memory_rss,catalogue-db_memory_rss,front-end_memory_rss,orders_memory_rss,orders-db_memory_rss,payment_memory_rss,queue-master_memory_rss,rabbitmq_memory_rss,shipping_memory_rss,user_memory_rss,user-db_memory_rss,carts_memory_cache,carts-db_memory_cache,catalogue_memory_cache,catalogue-db_memory_cache,front-end_memory_cache,orders_memory_cache,orders-db_memory_cache,payment_memory_cache,queue-master_memory_cache,rabbitmq_memory_cache,shipping_memory_cache,user_memory_cache,user-db_memory_cache,carts-db_disk,catalogue-db_disk,front-end_disk,orders-db_disk,rabbitmq_disk,user-db_disk,carts_power,carts-db_power,catalogue_power,catalogue-db_power,front-end_power,orders_power,orders-db_power,payment_power,queue-master_power,rabbitmq_power,shipping_power,user_power,user-db_power,145.108.225.16:10684_host_power,145.108.225.17:10684_host_power
1749120701.862,0.031259598375972406,0.01204721811052222,0.004344751756225338,0.002102927352655542,0.012039414798205994,0.0018295401277765393,0.004956747342134704,0.0023329489903200495,0.0013183504087093331,0.09706028383417492,0.0018012923567108524,0.004560753428351906,0.006786800455138153,23491597.580600414,17142540.65292723,445544.8894773621,9049364.428880112,8555172.992088666,21448611.894763287,2114447.8434108812,533699.1625276438,108422986.25416954,11324420.267602544,24687410.138248846,1206708.401171483,4419686.909284443,1136.4519172077023,0,382121.5932914046,4718060.353177856,47636.58901163003,0,0,0,0,7668881.772318492,0,12382.199876844097,75.17113545853292,0,747.0362939996353,0,0,0,0,225.62934944272047,0,0,0,0,0,75.17113545853292,0,0,0,0,0,0,0.0060248619119329634,0.001543062866532787,0.0006665680555980688,0.0003295129755428227,0.0015733889757507068,0.0001903848160719244,0.0005326825945641726,0.00032916498496563353,0.00014041756905127243,0.010315340141452902,0.00027911968255134046,0.000852436041524545,0.0009167786828669134,4.273137672727273,2.453257690909091
1749120706.862,0.04795272122845411,0.023866529453720708,0.007647612661181259,0.004091348305953855,0.029918820168495834,0.0027156182888054404,0.005016032867259841,0.0025102559003769356,0.0013325834507751635,0.0966551974588732,0.0018384984355102843,0.007259205472455967,0.007669581527557866,30624321.221219413,17190779.933795426,449897.5741239892,8909535.934291579,8582542.424077004,21844160.666642305,2784119.7021972034,526096.442800736,108274079.46995623,10595470.433325354,18712766.381662726,1220207.5155052901,3560052.8627856323,2815.1711913762233,224.72978657254157,392905.07758432283,4644271.047227925,87872.04541732626,1571.8723730857791,0,0,0,7175249.495536784,0,16661.94819408975,75.60264313928162,0,1348.3787194352494,0,0,0,0,223.13419284546939,0,0,0,0,0,75.60264313928162,0,0,0,0,0,0,0.00997374331693509,0.00331117371387251,0.001063504205177763,0.0005963666517025254,0.004003502103706189,0.0003791663903583875,0.0004700759335505361,0.00042851114825509995,0.000118383126412694,0.008826580083747555,0.0003087939027974087,0.0012393479672606843,0.000913426068630184,4.204725854545455,2.5040900909090906
1749120711.862,0.0833829143540211,0.04184013306709924,0.013087633954609315,0.006927380034268784,0.043669830939266414,0.004458431775359002,0.0049462294181228965,0.002677944775203824,0.001327595844276536,0.0959641403803458,0.0018530080212473168,0.011200310635278043,0.008915527284427256,31144515.089655165,21517637.32620125,892960.4955713743,17527437.424474705,11898086.051306317,21865589.170401536,3444816.429472168,531250.342787039,105693499.84813564,13418466.706398657,18333252.38409297,828022.7041187601,4429840.191211619,2862.491954022988,2143555.0751982997,390911.33691970515,4568800.072143566,3850132.017440092,1573.511387542303,0,0,0,9469304.581820808,0,27645.46645320914,75.30796102224673,0,1950.8692227371812,0,0,0,0,0,0,0,0,0,0,75.30796102224673,0,0,0,0,0,0,0.014162697111441452,0.004631390513705156,0.0014750127180796187,0.0008229358157957676,0.004765774063176012,0.0005621506732226178,0.0005122221795318125,0.0004237955264281502,0.00010973129292403295,0.010543617669914448,0.00030700266027842407,0.001553571814855461,0.001100426131126733,3.3820095636363634,2.495135654545454
1749120716.862,0.08511482966851669,0.0708003912322703,0.01744526111758902,0.011061708460660308,0.07573291279015894,0.008388377701519213,0.004979303658135863,0.0030282846163358964,0.0013589193682307461,0.09384220119895084,0.0018936274577755492,0.016836198395493652,0.011399186320495124,31860585.669884242,25958333.984159146,473709.0680778546,17891441.404955633,8801159.631120926,21821532.710280374,3490445.1827242523,520186.717079807,109153181.4676089,11053697.15784403,12507196.439645424,856036.9073425601,3534036.4249331234,2928.3201565757104,2158303.0392337446,28068.38281460221,9325974.154118035,4300674.5959586585,1570.0934579439252,0,0,0,9358339.452978645,0,40828.7106516221,75.04855436256368,0,3319.6537115490883,0,0,0,0,0,0,0,0,0,0,75.04855436256368,0,0,0,0,0,0,0.020962201955200325,0.007635381239510924,0.0018720388916428617,0.0011424322630352371,0.007350254013048827,0.0013650125408855756,0.0005472822083667872,0.0005794814929626404,0.00008311542170251387,0.009032879095120587,0.00032217634284619775,0.002264219529723712,0.0012986691628675909,4.181587963636363,2.0074358545454545
1749120721.862,0.1961814249671406,0.10700607269662057,0.022454348769771544,0.01658079598668349,0.10316124924484613,0.01329761898052996,0.0050548516822393665,0.003332433314935756,0.001359238399136626,0.09303294846551707,0.0019048971316606078,0.023642976789027003,0.01329449383727555,30922571.637213375,25265032.3135961,466756.83655536023,26665208.75100607,8704290.562929062,21596815.143961564,2826220.334601322,524771.0577385298,110069120.97644478,13618415.282513844,12440711.043378871,840449.6671153636,3435463.0948988316,2841.5364393164887,4198756.231395475,27498.62917398945,13900011.414355747,4251441.794050343,1553.7010946136338,0,583.4030658571759,0,11529940.380596196,0,40234.292574671665,72.95525790823596,0,4847.684969336155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03530017128014676,0.009168766772021886,0.0021176037752804163,0.0014577442431484163,0.008158803693958862,0.0023720347138635085,0.00047316072533016965,0.0006753710532123068,0.000184719118047016,0.01100434282918625,0.00032160331244249045,0.002400945747226138,0.0019223120919870608,4.152820945454545,1.9984588181818181
1749120726.862,0.27938303224384636,0.14204298101311716,0.033702633360538234,0.02280400361883912,0.14910782411192577,0.018764101921140214,0.005181682823718047,0.003563760755415515,0.00135257650782166,0.0913263482898184,0.001937892618427561,0.029618271131894823,0.01660718227685544,29860926.02778365,25675904.373177845,500357.1614052009,34818531.61110017,4414838.266557645,21509747.013958845,2788934.2906082585,263851.19524394366,106985712.55990596,11286553.09218203,12488745.551569019,430924.0780911063,3538844.8032290624,2743.9531767858402,4270423.323615161,29097.59988129243,13613390.135975206,4229221.4045607345,1547.272988919269,0,1749.7730549474022,0,9554147.024504084,0,39327.19320081078,75.14906889276214,0,6344.023323615161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04507584145991223,0.011786044254498413,0.002739486735180943,0.0018173385002658116,0.01053818386794528,0.0028756284366794733,0.00041409846394178023,0.0007975511304445781,0.00014946769427092024,0.011248016423910427,0.00034571429066691356,0.0024985519893796003,0.0022324574711471965,3.3814811999999996,1.4942872363636364
1749120731.862,0.35695558226608143,0.18562869542913196,0.04451302583950564,0.02996983181249212,0.18401392017818294,0.024223026653177868,0.005183131501777602,0.0041247384464835005,0.00137534127977616,0.08984756041977279,0.0019501149242548673,0.040128339813922775,0.019774893828179825,31307062.297869198,25997895.739144877,960226.9124389746,35258532.663316585,4258030.889890268,21999208.019865718,2802759.4296396766,273691.8446852901,108902009.79345383,11257481.50303736,12530737.569212215,457000.5189413597,4322113.960625258,5374.43403374545,6483865.734162499,29120.82567615229,13785574.22491519,4075358.67359224,1582.1944265612065,0,1815.0329572939938,0,7628503.873995127,0,49267.99614500705,73.5090899301879,0,8389.880238415974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045779821277987444,0.014984058952740935,0.003292875807176666,0.0022304374914013186,0.013049973680297757,0.003044561321397349,0.00038069736631012957,0.0008999496165071665,0.00020563333997961116,0.013071355826615111,0.0003204483379240067,0.0033824474059472526,0.002380989564241536,3.388298127272727,1.5039268727272725
1749120736.862,0.5018400313894834,0.1904634885035984,0.05774750502682752,0.04046651696785868,0.24226636969818774,0.024782237142906772,0.0052116870934547956,0.004678081168772351,0.0013938267283296448,0.08753775007265344,0.0019697486773445163,0.051820541614659106,0.023751547596983776,23071641.18009943,26737405.892489742,949685.131942791,43597337.97534232,4623546.312695137,22634647.79420574,2809743.7065892466,269507.8757998151,108137589.58797939,8997793.664632374,18635048.557761993,448936.5966606972,3502829.8355591903,8620.967449286933,6668357.458607805,30678.55769406852,18182482.350196507,4440692.50853585,1628.0740097970609,0,2672.805379832877,0,5717035.745422843,0,48679.87192706355,297.7014627055511,0,8628.605643373005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056871786476722544,0.021029398461047896,0.004604164793573892,0.003131028637392583,0.017237924751822207,0.003934284887365208,0.0004328412135054409,0.000999499953051036,0.00019438801056531732,0.011649166464203569,0.00039785813786222496,0.004216438468586054,0.00270579143057569,4.0844548,0.9958822363636364
1749120741.862,0.6201577785936312,0.3370902292543926,0.07095110185233307,0.04904484584547285,0.31022091485283176,0.043523511895737256,0.005149862822310873,0.005747050416803231,0.0014028796491738359,0.08647830569976822,0.00199308633041465,0.0644986481007526,0.0304112405450955,30812571.4908853,21314499.782198343,912020.2387759701,45087852.11855756,4672892.9025599435,21598603.270876206,2063392.958607545,272634.2688653489,107645661.54741976,9119515.740638461,12405375.786959983,506881.03699066484,4360243.6982404,9007.760673197507,8503199.65151735,37545.42461575783,18804380.91349455,8863632.577083986,1552.691432903715,0,4622.183393396673,0,5794786.553260429,0,49624.71690817698,296.90303173078667,0,14794.250036300275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06848559454865406,0.025644506313477106,0.005617535391954068,0.003758682435775085,0.022015670028405716,0.005265307088510029,0.00043823695575443826,0.0011282089104718584,0.00019438801056531732,0.011711219415548133,0.0003607534457814841,0.005791733612676483,0.003297873752782939,3.3272684545454547,1.0354152363636364
1749120746.862,0.8043134488975813,0.42642693140887417,0.09399535646368888,0.06320812006266667,0.34807804443916013,0.059734171634177984,0.005075409983914271,0.006741803395477388,0.0014094341866705694,0.08314195083347163,0.0020215656615050256,0.08177745386691375,0.037703378443351206,22826890.942035485,17326588.139873546,1410265.548037889,44777044.69634134,4498424.769147202,21811927.564219348,2763609.9694554387,530836.6059403133,143007032.27210093,11323565.168066457,18624986.398623563,512486.030711959,3480385.8000144605,10508.028201862184,10793026.82077089,39093.98285972034,18674755.285227165,8354416.0782183595,1567.0613955183094,0,4500.460764159637,0,7674856.672339022,0,50165.99348534201,444.21950690477917,0,18649.412892403543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08132435383054477,0.031410324689941656,0.006421810594088436,0.004451008228387348,0.02524357276215164,0.005776619804899855,0.000373783058670809,0.0014457797981921835,0.0002433621949889244,0.012274873012371665,0.00046156004432418903,0.006045733262667417,0.0035063739390449817,4.1406700545454544,0.5189847636363636
