Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,12715,0,33,39.14220871957187,1.6512158326804638,261.85376406647265,8649.0,41.21545257838516,0.0,33,48,58,64,82,96,120,140,210,260,260
GET,/basket.html,11850,0,38,44.116216806128996,1.8224960658699274,253.50984698161483,23388.0,38.41157003962754,0.0,38,55,66,73,92,110,130,160,220,240,250
POST,/cart,72501,0,100.0,107.99090124807954,16.72145794145763,438.01597808487713,0.0,235.01073750574145,0.0,100,130,160,170,200,230,250,270,340,420,440
GET,/catalogue,12556,0,59,66.7760861204126,4.3979790061712265,334.62893799878657,2795.0,40.70005682848636,0.0,59,82,97,110,130,150,180,200,260,320,330
GET,/category.html,12560,0,36,41.555507745164455,1.5841759741306305,256.8825879134238,11518.0,40.713022759301424,0.0,36,52,62,69,84,98,120,150,210,250,260
GET,/login,12686,0,120.0,127.77735336671431,27.309766970574856,403.953653993085,13.0,41.121449579975945,0.0,120,150,170,180,220,240,270,300,350,400,400
POST,/orders,11718,11718,150.0,161.2390062479378,20.086386939510703,470.6736169755459,227.0,37.98369432273042,37.98369432273042,150,190,220,240,280,310,350,370,430,460,470
,Aggregated,146586,11718,75,93.60156207986874,1.5841759741306305,470.6736169755459,3886.488743809095,475.1559836142483,37.98369432273042,75,110,140,150,200,230,260,290,380,430,470
