Method,Name,Error,Occurrences
POST,/api/v1/travelservice/trips/left,RemoteDisconnected('Remote end closed connection without response'),27053
GET,/client_login.html,RemoteDisconnected('Remote end closed connection without response'),4748
GET,/api/v1/adminorderservice/adminorder,"ConnectionResetError(104, 'Connection reset by peer')",11
POST,/api/v1/users/login,HTTPError('500 Server Error: Internal Server Error for url: /api/v1/users/login'),14
GET,/adminlogin.html,"ConnectionResetError(104, 'Connection reset by peer')",666
GET,/api/v1/adminorderservice/adminorder,HTTPError('504 Server Error: Gateway Time-out for url: /api/v1/adminorderservice/adminorder'),619
GET,/api/v1/verifycode/generate,"ConnectionResetError(104, 'Connection reset by peer')",5848
GET,/api/v1/adminuserservice/users,"ConnectionResetError(104, 'Connection reset by peer')",35
GET,/index.html,RemoteDisconnected('Remote end closed connection without response'),27451
POST,/api/v1/users/login,RemoteDisconnected('Remote end closed connection without response'),9522
GET,/client_login.html,"ConnectionResetError(104, 'Connection reset by peer')",767
POST,/api/v1/travelservice/trips/left,HTTPError('504 Server Error: Gateway Time-out for url: /api/v1/travelservice/trips/left'),1285
GET,/api/v1/adminuserservice/users,RemoteDisconnected('Remote end closed connection without response'),318
GET,/index.html,"ConnectionResetError(104, 'Connection reset by peer')",4355
POST,/api/v1/users/login,"ConnectionResetError(104, 'Connection reset by peer')",1467
GET,/api/v1/verifycode/generate,RemoteDisconnected('Remote end closed connection without response'),32124
POST,/api/v1/travelservice/trips/left,HTTPError('500 Server Error: Internal Server Error for url: /api/v1/travelservice/trips/left'),34
GET,/api/v1/verifycode/generate,HTTPError('500 Server Error: Internal Server Error for url: /api/v1/verifycode/generate'),6
GET,/adminlogin.html,RemoteDisconnected('Remote end closed connection without response'),4618
POST,/api/v1/travelservice/trips/left,"ConnectionResetError(104, 'Connection reset by peer')",5188
GET,/api/v1/adminorderservice/adminorder,RemoteDisconnected('Remote end closed connection without response'),223
