Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/admin_user.html,1,0,2.049882896244526,2.049882896244526,2.049882896244526,2.049882896244526,27664.0,0.00323342600759922,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/adminlogin.html,9441,8209,17,42.27715966171081,1.0786959901452065,483.16118586808443,298.1802775129753,30.526774937744236,26.543194096381995,17,46,61,71,100,140,200,320,420,480,480
GET,/api/v1/adminorderservice/adminorder,1010,1010,60000.0,40295.05462575155,0.8767680265009403,60220.94331821427,126.87326732673267,3.265760267675212,3.265760267675212,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
GET,/api/v1/adminuserservice/users,1011,438,41,48.10702612183244,0.7602469995617867,461.7044418118894,91642.75370919882,3.2689936936828112,1.4162405913284584,41,47,52,56,81,120,180,310,410,460,460
POST,/api/v1/adminuserservice/users,1,0,161.42159374430776,161.42159374430776,161.42159374430776,161.42159374430776,211.0,0.00323342600759922,0.0,160,160,160,160,160,160,160,160,160,160,160
GET,/api/v1/assuranceservice/assurances/types,8888,8628,21,47.620279570491554,1.0929442942142487,481.13580187782645,8.441044104410441,28.738690355541866,27.89799959356607,21,56,73,84,120,150,220,330,430,480,480
POST,/api/v1/contactservice/contacts,19,17,33,29.59467235364412,2.600298263132572,55.653857067227364,23.263157894736842,0.06143509414438518,0.05496824212918674,33,37,41,41,47,56,56,56,56,56,56
GET,/api/v1/contactservice/contacts/account/,4299,4299,16,43.96797871989659,1.1489130556583405,491.9330137781799,12.844847638985811,13.900498406669046,13.900498406669046,16,49,68,78,110,150,220,320,430,490,490
GET,/api/v1/contactservice/contacts/account/0120f772-34ad-4b90-a76e-edc368f9bd38,10,10,8,40.65149798989296,1.6724900342524052,123.27510118484497,0.0,0.0323342600759922,0.0323342600759922,12,45,95,110,120,120,120,120,120,120,120
GET,/api/v1/contactservice/contacts/account/0267b42f-7d77-4cf7-9c14-e27f942acf06,24,20,27,45.869584272926055,2.1679941564798355,203.2923917286098,34.5,0.07760222418238127,0.0646685201519844,34,52,76,89,110,120,200,200,200,200,200
GET,/api/v1/contactservice/contacts/account/04547c69-b005-44bd-99c9-8fe2f24d15db,8,7,7,45.81522016087547,1.7071929760277271,111.42394598573446,4.75,0.02586740806079376,0.02263398205319454,65,70,100,100,110,110,110,110,110,110,110
GET,/api/v1/contactservice/contacts/account/05081d32-804b-47b6-926f-66073e71cd20,2,2,2.3300801403820515,33.59210304915905,2.3300801403820515,64.85412595793605,0.0,0.00646685201519844,0.00646685201519844,65,65,65,65,65,65,65,65,65,65,65
GET,/api/v1/contactservice/contacts/account/064b17d9-3ac2-45e1-b7f3-6c3bd59e2de1,8,8,9,44.56552298506722,1.6581802628934383,241.88066413626075,0.0,0.02586740806079376,0.02586740806079376,17,21,57,57,240,240,240,240,240,240,240
GET,/api/v1/contactservice/contacts/account/06ad48dd-1397-49a2-8588-9691c5100187,17,17,6,22.431283586603755,2.0326641388237476,83.9692740701139,0.0,0.05496824212918674,0.05496824212918674,6,16,43,52,69,84,84,84,84,84,84
GET,/api/v1/contactservice/contacts/account/06b8b32b-c196-45a7-a35a-87367b8cd637,14,13,5,55.27438539346414,1.5231957659125328,310.32853526994586,14.785714285714286,0.04526796410638908,0.04203453809878986,14,38,100,110,140,310,310,310,310,310,310
GET,/api/v1/contactservice/contacts/account/06dfb175-0035-4d90-9d37-2883b5d65fbf,1,1,11.747949291020632,11.747949291020632,11.747949291020632,11.747949291020632,0.0,0.00323342600759922,0.00323342600759922,12,12,12,12,12,12,12,12,12,12,12
GET,/api/v1/contactservice/contacts/account/0704a535-6167-407f-b6df-490f73a4ba55,5,4,110.0,123.80672106519341,3.5625058226287365,200.0802531838417,41.4,0.0161671300379961,0.01293370403039688,110,200,200,200,200,200,200,200,200,200,200
GET,/api/v1/contactservice/contacts/account/0730214b-343c-4e14-b92b-b3fee6e6b01c,34,34,12,33.8471725665252,1.7845220863819122,162.35988680273294,0.0,0.10993648425837348,0.10993648425837348,13,30,57,76,85,160,160,160,160,160,160
GET,/api/v1/contactservice/contacts/account/07467215-5ec9-48d9-b33c-c1c1e8c19f82,12,10,10,46.278240818840764,3.968428820371628,228.27041102573276,34.5,0.03880111209119064,0.0323342600759922,25,32,72,72,100,230,230,230,230,230,230
GET,/api/v1/contactservice/contacts/account/0811815c-687f-40df-9e6d-7f254687e129,22,21,36,54.315882036462426,2.4742241948843002,206.93527115508914,9.409090909090908,0.07113537216718284,0.06790194615958361,38,71,83,91,130,130,210,210,210,210,210
GET,/api/v1/contactservice/contacts/account/08359d60-fcce-40aa-a4ac-3ed83c50b84a,7,6,23,28.771350692425454,2.9270267114043236,62.10631271824241,29.571428571428573,0.02263398205319454,0.01940055604559532,23,46,55,55,62,62,62,62,62,62,62
GET,/api/v1/contactservice/contacts/account/08f7f55c-ee87-45bf-80f4-0059547948b5,5,5,56,57.96317523345351,11.015809141099453,114.71872497349977,0.0,0.0161671300379961,0.0161671300379961,56,76,76,110,110,110,110,110,110,110,110
GET,/api/v1/contactservice/contacts/account/09504487-f163-4664-9d16-2e5ee2465f17,10,10,10,30.323201697319746,2.3346426896750927,122.56155675277114,0.0,0.0323342600759922,0.0323342600759922,14,19,52,62,120,120,120,120,120,120,120
GET,/api/v1/contactservice/contacts/account/09dc7165-7c4c-4da0-936c-b9c16c9467ed,3,3,3,13.74152877057592,2.6251072995364666,35.37735715508461,0.0,0.00970027802279766,0.00970027802279766,3,3,35,35,35,35,35,35,35,35,35
GET,/api/v1/contactservice/contacts/account/0a1029a4-4400-44be-82a0-633a7b483b9e,4,4,3,26.850159163586795,2.689919900149107,98.0358887463808,0.0,0.01293370403039688,0.01293370403039688,4,4,98,98,98,98,98,98,98,98,98
GET,/api/v1/contactservice/contacts/account/0abdf087-5936-4da8-8a40-b648e5f53a1c,5,5,9,52.84543111920357,2.6499037630856037,161.8274529464543,0.0,0.0161671300379961,0.0161671300379961,9,86,86,160,160,160,160,160,160,160,160
GET,/api/v1/contactservice/contacts/account/0e5af439-73a7-4704-afbc-e8769c43700e,21,21,7,43.40322204821167,1.8888190388679504,314.4227103330195,0.0,0.06790194615958361,0.06790194615958361,7,37,62,66,100,120,310,310,310,310,310
GET,/api/v1/contactservice/contacts/account/0e9fbda4-2950-4974-a403-6285973e6993,13,12,11,44.13713923153969,1.7224932089447975,155.95605177804828,15.923076923076923,0.04203453809878986,0.03880111209119064,11,63,72,110,120,160,160,160,160,160,160
GET,/api/v1/contactservice/contacts/account/0f7c575e-c016-47ce-9d92-dcf79592e3ce,2,2,6.081101018935442,12.422141619026661,6.081101018935442,18.76318221911788,0.0,0.00646685201519844,0.00646685201519844,19,19,19,19,19,19,19,19,19,19,19
GET,/api/v1/contactservice/contacts/account/10116b47-2241-4dff-ace6-246b7ef5a0b1,14,12,14,15.63410144964499,1.6258619725704193,47.028662636876106,29.571428571428573,0.04526796410638908,0.03880111209119064,14,17,28,31,37,47,47,47,47,47,47
GET,/api/v1/contactservice/contacts/account/11d23098-f65d-43c5-9083-03082496f3c8,11,10,6,49.5113478126851,1.6384138725697994,340.90903773903847,18.818181818181817,0.03556768608359142,0.0323342600759922,6,10,11,11,150,340,340,340,340,340,340
GET,/api/v1/contactservice/contacts/account/120f014e-9a73-4758-a41d-b59d34f1e65a,8,7,8,33.58271770412102,2.5830017402768135,144.89234425127506,25.875,0.02586740806079376,0.02263398205319454,10,25,67,67,140,140,140,140,140,140,140
GET,/api/v1/contactservice/contacts/account/12152f59-2af6-4842-b981-631b9f825786,12,12,3,32.9249205145364,1.9275657832622528,152.01843483373523,0.0,0.03880111209119064,0.03880111209119064,3,12,63,63,130,150,150,150,150,150,150
GET,/api/v1/contactservice/contacts/account/126516d8-ba46-4792-affb-8dd70683e7fb,6,5,10,35.653603340809546,3.286774270236492,125.96520222723484,34.5,0.01940055604559532,0.0161671300379961,11,11,57,57,130,130,130,130,130,130,130
GET,/api/v1/contactservice/contacts/account/1423af04-9247-48ae-ac53-621facf9dc28,10,9,9,63.20474911481142,4.300314001739025,327.41746539250016,20.7,0.0323342600759922,0.02910083406839298,13,44,91,120,330,330,330,330,330,330,330
GET,/api/v1/contactservice/contacts/account/153f9234-6f30-4436-a770-f340a991bc2c,23,22,7,43.44783812437368,1.7061978578567505,211.15322085097432,9.0,0.07436879817478206,0.07113537216718284,7,53,69,83,140,160,210,210,210,210,210
GET,/api/v1/contactservice/contacts/account/157b70f7-493d-437a-9b2c-6302489bdfd2,10,9,16,36.05577512644231,2.339242957532406,99.83163001015782,20.7,0.0323342600759922,0.02910083406839298,20,52,59,90,100,100,100,100,100,100,100
GET,/api/v1/contactservice/contacts/account/15c025aa-f552-4c0c-a4b7-4b175860f776,8,7,7,58.080912684090436,6.258497014641762,218.04564772173762,25.875,0.02586740806079376,0.02263398205319454,8,78,130,130,220,220,220,220,220,220,220
GET,/api/v1/contactservice/contacts/account/16a332bc-6f9b-4ced-a03e-41443552f9f0,11,9,26,39.44063855504448,2.0292229019105434,96.58734500408173,37.63636363636363,0.03556768608359142,0.02910083406839298,26,60,82,82,83,97,97,97,97,97,97
GET,/api/v1/contactservice/contacts/account/170caaf9-07f3-463d-9836-82ee30b431a2,15,15,50,46.76589878896872,1.4554723165929317,102.50009223818779,0.0,0.048501390113988296,0.048501390113988296,50,64,68,97,98,100,100,100,100,100,100
GET,/api/v1/contactservice/contacts/account/1735e83c-56f6-47dc-97aa-f7e0983ded0c,4,4,40,62.70125322043896,12.011471670120955,128.39447800070047,0.0,0.01293370403039688,0.01293370403039688,71,71,130,130,130,130,130,130,130,130,130
GET,/api/v1/contactservice/contacts/account/17ae10f6-4cb5-4627-8fbf-df4649a2cb4f,9,8,28,44.67365047377017,2.4238722398877144,153.82502600550652,23.0,0.02910083406839298,0.02586740806079376,28,45,78,86,150,150,150,150,150,150,150
GET,/api/v1/contactservice/contacts/account/1894a1c2-dc18-45ff-8875-2546fb1611b0,4,4,39,43.570545269176364,5.768876057118177,66.85630604624748,0.0,0.01293370403039688,0.01293370403039688,62,62,67,67,67,67,67,67,67,67,67
GET,/api/v1/contactservice/contacts/account/1a5a1d22-69b5-4f81-a628-ab38f64bf393,3,3,7,15.828192699700594,3.8671670481562614,36.739100236445665,0.0,0.00970027802279766,0.00970027802279766,7,7,37,37,37,37,37,37,37,37,37
GET,/api/v1/contactservice/contacts/account/1ae498e7-4b23-4d8d-90af-c7d5f233f232,17,15,37,59.647136093939054,3.3478420227766037,191.82433187961578,24.352941176470587,0.05496824212918674,0.048501390113988296,37,88,90,91,170,190,190,190,190,190,190
GET,/api/v1/contactservice/contacts/account/1b28b921-f1cc-404a-8b78-c892c4776e22,12,11,8,59.8567557365944,2.0344783551990986,465.4191117733717,17.25,0.03880111209119064,0.03556768608359142,12,18,81,81,86,470,470,470,470,470,470
GET,/api/v1/contactservice/contacts/account/1bff5d83-f5d7-4e2c-a33e-85b81e3fb59b,10,10,28,59.16524133644998,2.819889225065708,252.76496214792132,0.0,0.0323342600759922,0.0323342600759922,46,56,63,100,250,250,250,250,250,250,250
GET,/api/v1/contactservice/contacts/account/1c0a0f79-0342-465c-8e60-a7a6f503c4ae,7,6,9,17.284217490149395,2.8419080190360546,70.09953120723367,5.428571428571429,0.02263398205319454,0.01940055604559532,9,10,17,17,70,70,70,70,70,70,70
GET,/api/v1/contactservice/contacts/account/1cc75349-7492-4c73-be20-344cc1c1ebdf,11,10,36,40.10437128388069,1.9263089634478092,110.86705513298512,18.818181818181817,0.03556768608359142,0.0323342600759922,36,56,77,77,97,110,110,110,110,110,110
GET,/api/v1/contactservice/contacts/account/1e355aa9-649f-4ba2-9fc2-1e3cbb7774cf,30,29,36,72.56457487431665,1.7038239166140556,343.71653106063604,6.9,0.09700278022797659,0.09376935422037738,50,80,95,140,180,320,340,340,340,340,340
