Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/adminlogin.html,9478,8155,15,41.50758143076148,1.2268992140889168,485.87407218292356,318.9549483013294,30.679502094820933,26.397060517331155,15,43,60,73,100,140,190,320,470,490,490
GET,/api/v1/adminorderservice/adminorder,1019,1019,60000.0,42177.761437613095,0.9682937525212765,60302.879804279655,132.80078508341512,3.298418720681845,3.298418720681845,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
GET,/api/v1/adminuserservice/users,1018,462,38,43.76982980909115,0.8832127787172794,447.87739031016827,88607.17485265226,3.295181803389714,1.4954557889646836,38,44,49,53,80,110,140,280,440,450,450
GET,/api/v1/assuranceservice/assurances/types,8918,8614,18,46.80608404663699,1.16678886115551,490.9723261371255,9.315429468490693,28.866828411227374,27.882805554419445,18,53,75,85,120,150,210,330,480,490,490
GET,/api/v1/contactservice/contacts/account/,4342,4342,15,43.59529503436269,1.2528342194855213,489.12723222747445,13.953017042837402,14.05469488243432,14.05469488243432,15,47,69,81,110,150,200,310,460,490,490
GET,/api/v1/contactservice/contacts/account/014de777-0fad-4a1e-af9e-bbe5bfedff75,1,1,22.066629957407713,22.066629957407713,22.066629957407713,22.066629957407713,0.0,0.0032369172921313497,0.0032369172921313497,22,22,22,22,22,22,22,22,22,22,22
GET,/api/v1/contactservice/contacts/account/0371c3d5-2792-406e-bdf9-3bf34f9683fc,9,9,51,47.32432330234183,1.9872747361660004,109.87710859626532,0.0,0.029132255629182147,0.029132255629182147,51,64,73,83,110,110,110,110,110,110,110
GET,/api/v1/contactservice/contacts/account/0403522d-9136-40dc-ac63-461eb0ff1fcb,9,8,9,13.921390908459822,1.6198158264160156,55.99462799727917,23.0,0.029132255629182147,0.025895338337050797,9,13,15,21,56,56,56,56,56,56,56
GET,/api/v1/contactservice/contacts/account/05081d32-804b-47b6-926f-66073e71cd20,1,1,19.19514173641801,19.19514173641801,19.19514173641801,19.19514173641801,0.0,0.0032369172921313497,0.0032369172921313497,19,19,19,19,19,19,19,19,19,19,19
GET,/api/v1/contactservice/contacts/account/064b17d9-3ac2-45e1-b7f3-6c3bd59e2de1,9,7,58,102.27951904137929,4.546531941741705,356.52290284633636,46.0,0.029132255629182147,0.022658421044919448,58,130,140,150,360,360,360,360,360,360,360
GET,/api/v1/contactservice/contacts/account/06ad48dd-1397-49a2-8588-9691c5100187,14,14,6,25.604542677423783,2.4187699891626835,136.8310791440308,0.0,0.045316842089838896,0.045316842089838896,6,11,11,19,130,140,140,140,140,140,140
