Method,Name,Error,Occurrences
POST,/api/v1/travelservice/trips/left,RemoteDisconnected('Remote end closed connection without response'),5976
GET,/client_login.html,RemoteDisconnected('Remote end closed connection without response'),870
GET,/api/v1/adminorderservice/adminorder,"ConnectionResetError(104, 'Connection reset by peer')",276
POST,/api/v1/users/login,HTTPError('500 Server Error: Internal Server Error for url: /api/v1/users/login'),3
GET,/adminlogin.html,"ConnectionResetError(104, 'Connection reset by peer')",344
GET,/api/v1/adminorderservice/adminorder,HTTPError('504 Server Error: Gateway Time-out for url: /api/v1/adminorderservice/adminorder'),1848
GET,/api/v1/verifycode/generate,"ConnectionResetError(104, 'Connection reset by peer')",3240
GET,/api/v1/adminuserservice/users,"ConnectionResetError(104, 'Connection reset by peer')",206
GET,/index.html,RemoteDisconnected('Remote end closed connection without response'),5926
POST,/api/v1/users/login,RemoteDisconnected('Remote end closed connection without response'),2094
GET,/client_login.html,"ConnectionResetError(104, 'Connection reset by peer')",343
GET,/api/v1/adminuserservice/users,RemoteDisconnected('Remote end closed connection without response'),594
GET,/index.html,"ConnectionResetError(104, 'Connection reset by peer')",2208
POST,/api/v1/users/login,"ConnectionResetError(104, 'Connection reset by peer')",894
POST,/api/v1/travel2service/trips/left,HTTPError('500 Server Error: Internal Server Error for url: /api/v1/travel2service/trips/left'),6
GET,/api/v1/verifycode/generate,RemoteDisconnected('Remote end closed connection without response'),6716
POST,/api/v1/travelservice/trips/left,HTTPError('500 Server Error: Internal Server Error for url: /api/v1/travelservice/trips/left'),23
GET,/api/v1/verifycode/generate,HTTPError('500 Server Error: Internal Server Error for url: /api/v1/verifycode/generate'),7
POST,/api/v1/travel2service/trips/left,RemoteDisconnected('Remote end closed connection without response'),5435
POST,/api/v1/travel2service/trips/left,"ConnectionResetError(104, 'Connection reset by peer')",1678
GET,/adminlogin.html,RemoteDisconnected('Remote end closed connection without response'),950
POST,/api/v1/travelservice/trips/left,"ConnectionResetError(104, 'Connection reset by peer')",2546
GET,/api/v1/adminorderservice/adminorder,RemoteDisconnected('Remote end closed connection without response'),923
