time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_memory,carts-db_memory,catalogue_memory,catalogue-db_memory,front-end_memory,orders_memory,orders-db_memory,payment_memory,queue-master_memory,rabbitmq_memory,shipping_memory,user_memory,user-db_memory,carts_memory_rss,carts-db_memory_rss,catalogue_memory_rss,catalogue-db_memory_rss,front-end_memory_rss,orders_memory_rss,orders-db_memory_rss,payment_memory_rss,queue-master_memory_rss,rabbitmq_memory_rss,shipping_memory_rss,user_memory_rss,user-db_memory_rss,carts_memory_cache,carts-db_memory_cache,catalogue_memory_cache,catalogue-db_memory_cache,front-end_memory_cache,orders_memory_cache,orders-db_memory_cache,payment_memory_cache,queue-master_memory_cache,rabbitmq_memory_cache,shipping_memory_cache,user_memory_cache,user-db_memory_cache,carts-db_disk,catalogue-db_disk,front-end_disk,orders-db_disk,rabbitmq_disk,user-db_disk,carts_power,carts-db_power,catalogue_power,catalogue-db_power,front-end_power,orders_power,orders-db_power,payment_power,queue-master_power,rabbitmq_power,shipping_power,user_power,user-db_power,145.108.225.17:10684_host_power
1749154130.294,0.005994787957193323,0.007403290273056912,0.004620690265008721,0.0011291859319504031,0.006981458156602631,0.001937141890306562,0.005173112144469486,0.002828559125616018,0.0012838741305313066,0.09601030816871531,0.001843124731342296,0.004568629295047625,0.006948311669768252,15532686.890932115,23651154.731878493,1256269.118442401,75.01007215324323,13742742.448272046,28710957.425688967,4380630.392776524,542988.5738009711,182315114.9918603,11213892.744935177,19057343.51145038,1220041.3686795363,4533130.72237986,0,149.72401944657673,363522.7690643591,0,4428734.850440748,0,0,0,0,3802678.4153696145,0,9544.19171550967,0,0,299.44803889315347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000983471874862354,0.0010825044038054597,0.0007995338368230543,0.0002618697065647942,0.0015680723449767976,0.00026490616799733027,0.0005206154696192829,0.0004992743637459187,0.00018591569429918508,0.009244325796953152,0.00033460070101621594,0.0006099592027960797,0.0009006500420031758,2.9987284909090905
1749154135.294,0.02189881705300596,0.018789109001510082,0.007437627302494557,0.0031791868414450357,0.02361604990183789,0.0026046652207987165,0.005126238511071437,0.002504990999000001,0.0013060231003261108,0.0955643047054508,0.001834122783401614,0.005355726834562242,0.007244403351808637,22809236.58580413,19355591.989089083,1265742.9846021011,2209.5155895997414,13592870.273414776,21751597.14957444,3711791.0069896714,278558.95099455497,179541669.12608624,9066704.796644174,18458539.162897553,842724.5534318145,4661769.428220676,0,147.01026487689327,377387.2499640236,2209.5155895997414,4425196.044211751,1567.6611565729283,0,0,0,1920929.1263906623,0,14994.830662815726,0,0,808.556456822913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003962743855624333,0.003077034974189744,0.0011701174497365705,0.0005652920640174851,0.0038774572186008405,0.00036487115637840194,0.0005732879122738813,0.0004535865728359085,0.00015330667718831305,0.007637404209441798,0.000301991683905344,0.0008485516266697245,0.0008494821308220611,2.4773849636363634
1749154140.294,0.054112894055083384,0.029949467073284722,0.010665377609345187,0.005685148406930276,0.044843993357424214,0.005797270143988436,0.0052701565390407285,0.0028679730516464595,0.0012854198205648837,0.09541409523552687,0.0018596089326598248,0.007466716158334113,0.008713222681235032,30399486.031512197,23916082.58016819,859254.5855793928,8686936.688050607,13674038.322566517,21705359.610210165,3626547.357854736,269111.79369955,212628051.8527841,11167288.582160637,12458213.90413199,853320.7296359205,4542700.077911254,0,2901910.5812771465,380837.16218660685,4531796.072264614,4467867.586408263,1563.813540833394,0,438.88849203514536,0,1893887.457090994,0,22535.410974078724,0,0,1362.6836706404215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008053435017827461,0.003992937407538866,0.00126193675968459,0.0006951978294562207,0.005191919424563798,0.000946721334681021,0.0005456801933695444,0.0004818158669385835,0.0001491451511187082,0.0077931016641403965,0.0003460280284184654,0.0008963148061537353,0.0009155984899725237,2.470784
1749154145.294,0.09643047498307723,0.05848174794691033,0.015701756599164028,0.009320221842453957,0.06572669291060206,0.00814014040661998,0.005176549358676522,0.00276192544287638,0.0013059253817970596,0.09631134005738001,0.00185742718411884,0.010774562398939244,0.009765263723042459,37679813.54905385,19774808.036368966,459702.4915775054,8699877.026591744,9357721.264474811,21315972.082894523,3612043.0168994963,614.9226842816394,214496333.15195704,13452141.096656622,12261921.55950997,840468.4507912284,4572633.3290795395,0,5754913.037102214,25172.559327681316,4538715.722415088,121475.36954983803,1535.3694018528104,0,461.19201321122955,0,3800899.9873698642,0,23069.34830399157,0,0,2627.9513125091653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011279265898149465,0.0066331285493160435,0.0017505000307816523,0.0009933987316577129,0.00701332348491165,0.0015589163794249412,0.000482142404307939,0.0003952289129330495,0.00011755242332466759,0.00621616206641478,0.0003569308100394677,0.00119421038847654,0.0009691836337484158,1.9352166727272726
1749154150.294,0.15210487252555302,0.0815049428550651,0.02117824419026819,0.013872475042660194,0.09850074897573902,0.012184181414883196,0.005262719929182035,0.0033544706293705435,0.0013269451148522468,0.0959592412133525,0.001894647361923684,0.017135956770535584,0.011597219593602943,30937306.841653112,19592990.89967849,894456.9353667393,8733547.48091603,4855767.272183038,21718607.87985673,3615698.9878035695,2423.668639053254,182120802.32106885,11458074.718790337,6133483.906750398,830284.0844266971,4602215.962441314,598.9508124805791,5706707.935988956,24689.03413217139,9108312.168837002,197470.5255083905,1563.8988382029418,0,2350.224134839519,0,3884440.051631938,0,28038.79064460924,0,0,3645.6505549198046,0,0,0,0,73.25011624163955,0,0,0,0,0,75.11737089201877,0,0,0,0,0,0,0.016521315068452305,0.008456596606823694,0.0019003043156368086,0.0013297981695567847,0.009614251420000716,0.0019716590359903654,0.0004200170382851583,0.00048818657018147234,0.00016324526862914162,0.006322340654602382,0.0003203080425682144,0.0016871394177440857,0.001158040640666513,1.408168127272727
1749154155.294,0.23281412422035855,0.11590058508297275,0.02823348645445778,0.019777349560651223,0.1449300264536863,0.016451872599138478,0.00520275788143958,0.004021878865657824,0.001323671776244049,0.09519691952205969,0.0019089090745733155,0.024064379880984067,0.014826707174871097,30422895.515412964,20108434.831251163,920128.9287537375,8809943.50937585,4714670.521484587,21815245.74600161,2964354.582402695,3504.411528795252,178988504.75844535,13705261.176470589,6160192.632524707,866805.8626896376,5482278.75961083,3828.381414577155,8783296.513145627,34648.581637861884,9187967.315880062,223221.71226193488,1570.4374497918645,0,3431.402955278684,0,3872301.1764705884,0,40248.31943577123,0,0,5117.135931381689,0,0,0,0,74.98810003295375,0,0,0,0,0,74.62740953977335,0,0,0,0,0,0,0.02385674632387655,0.01127465231892468,0.0025583898115268035,0.001716786988239484,0.012314419132811394,0.0027326987969704974,0.00045852809128264874,0.00048134403985659326,0.0001332353932412833,0.0063454489071627105,0.0003388481195126135,0.0022438222835758845,0.0013138220454049644,0.8793989272727273
1749154160.294,0.3079900689826795,0.1670775748369164,0.03826539244196653,0.025494556474323447,0.18445746291915854,0.02351973421288215,0.005210921379609479,0.004130863652894845,0.0013140251105929178,0.09451634549203457,0.0019415354080195618,0.03188338255797189,0.018743261696824456,31231981.107708205,19437067.791112553,1385886.6845135503,8722082.689099748,4800054.316618213,22298083.451518994,2926190.519252681,3575.2109397730583,217072887.82833752,13606720.216046568,6268210.857362271,855638.8066170629,5393119.308502053,4005.1658610383383,8492184.380293366,34923.1728336206,9096336.496206347,313973.16672384844,1605.1354780921101,0,3500.727378527786,0,3846366.950714377,0,40684.822654048985,0,0,7454.787904998739,0,0,0,0,74.08077263930838,0,0,0,0,0,73.45372379534817,0,0,0,0,0,0,0.04744761708888171,0.013156588894530431,0.0028699999184377666,0.001999506104949349,0.013721898140867635,0.0028069620537908386,0.0004464071881366927,0.0004163298257918608,0.00018923685557350965,0.006526800530370761,0.0003290972740027734,0.0030363046593184072,0.001524590623383251,0.9059316181818181
1749154165.294,0.41251440366740066,0.21116522409459007,0.04826894516667977,0.03234787120940135,0.23889356642446763,0.031715356730143966,0.005088097051729802,0.00504462093087799,0.0013606613906974087,0.09577758061545946,0.0019458732189059232,0.04321165802160402,0.022188209119496528,38342267.91570784,15723843.474458938,1373092.5993173071,8739835.5849382,462859.99349311355,22213827.47793776,2910063.573202779,4093.3469047839367,177254072.1608691,13732586.582199223,6246321.635508911,1304534.7252428592,4640087.606363299,5788.979687981301,11445175.544705968,34582.032101096665,13664542.684679504,432506.0911687091,2359.0524849047843,0,4017.5441843249746,0,5820814.202316716,0,41348.9923154995,0,0,9402.025796108723,0,0,0,0,73.72475611073112,0,0,0,0,0,75.76766555678874,0,0,0,0,0,0,0.05332059469098108,0.015604997480294012,0.003590664999274419,0.002263168464640493,0.014859037566950378,0.0032171990117671797,0.0005036180857481026,0.00046625923214207917,0.00018460535503942273,0.005050149505727161,0.00026862869892721214,0.003165653257412954,0.00273778751491005,0.9254845818181818
1749154170.294,0.5056274651561667,0.2583821954557261,0.05926205381615286,0.040997767902237234,0.28462692936498013,0.038558053461955746,0.005255886351394854,0.005249858377464023,0.0013638877217596592,0.09362024537701678,0.0019506633220017242,0.05078943967443602,0.02570454474979826,38214297.16555335,16046918.894797517,941594.8760153147,17925822.793209594,5445093.894229892,22028244.113477785,2177723.5807389854,284620.1824065902,181927686.1673651,13560882.811789734,12530927.22155207,899895.1365296224,4608037.622161805,7172.991514713847,14599511.211929642,34662.18198733317,14020153.576760732,443695.3499826696,7238033.689869106,0,3991.762283024419,0,5750129.497972617,0,41076.83084134223,0,0,11347.737161131978,0,0,0,0,73.53944486337032,0,0,0,0,0,75.24432360937615,0,0,0,0,0,0,0.05878062092952476,0.018849944580105634,0.003974573764208312,0.002793109240870318,0.014930093250694054,0.005392540825760774,0.0006130453916913676,0.0005543033820616752,0.0001563845571472135,0.007321891493866674,0.00026087306934222023,0.005964766295821644,0.0027324083902499486,0.3664225090909091
1749154175.294,0.6157775350666131,0.3276216436456153,0.07204063446292258,0.049036171929050736,0.3399060142438958,0.05094996741715821,0.005132605189047616,0.006323972595191294,0.0013786456156374921,0.09195533551638183,0.00195586339073416,0.06614197747248603,0.030612077544894055,45612660.0351923,11601345.27990825,1401439.4966292134,26836834.032531094,5852704.96112758,28514661.564047996,2933039.335743746,284838.38142644597,144024384.07014978,13567864.94205825,6174914.042798472,956535.0469015436,4534140.224605312,8310.554099184832,16881723.747401617,34829.80674157303,18659530.43350261,730509.4617521488,7030933.171194049,0,4438.844295869074,0,5753133.0022376245,0,41749.6122313317,0,0,14239.552720235108,0,0,0,0,74.4199567579353,0,0,0,0,0,74.07273450639273,0,0,0,0,0,0,0.06142962149870741,0.02036348515731785,0.0042187886620937715,0.0029360455357672166,0.020062975812722907,0.007368382294190011,0.0007029614416793358,0.0007885806145696202,0.00015629120932901302,0.007800657062451963,0.00020007888442216573,0.008189803936778865,0.003456299425590596,0.41652263636363634
