Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1680,0,4,4.828280904413467,1.4176981057971716,48.60902694053948,8649.0,6.142570971739629,0.0,4,5,5,6,9,12,17,22,45,49,49
GET,/basket.html,1593,0,4,4.891374369420237,1.6575579065829515,51.11162504181266,23388.0,5.824473546417399,0.0,4,5,6,6,9,11,15,18,49,51,51
POST,/cart,9683,0,26,28.64434978517172,15.562043990939856,96.94405901245773,0.0,35.40387780913978,0.0,26,29,32,33,39,46,55,63,89,97,97
GET,/catalogue,1668,0,11,24.806163376208385,3.6234301514923573,97.59459691122174,2795.0,6.098695464798632,0.0,11,47,49,49,52,55,59,63,87,98,98
GET,/category.html,1669,0,4,4.82682717186742,1.4314400032162666,45.768014853820205,11518.0,6.102351757043715,0.0,4,5,6,6,8,11,16,20,44,46,46
GET,/login,1679,0,57,58.43715500649555,49.02828112244606,117.75745381601155,13.0,6.138914679494547,0.0,57,59,61,62,66,70,79,86,110,120,120
POST,/orders,1580,1580,69,65.54161571629369,19.649147056043148,157.20057697035372,227.0,5.7769417472313185,5.7769417472313185,69,72,74,76,82,90,100,110,130,160,160
,Aggregated,19552,1580,25,27.84222081673134,1.4176981057971716,157.20057697035372,3889.8063113747953,71.48782597586502,5.7769417472313185,25,30,37,48,60,69,76,82,110,130,160
