Method,Name,Error,Occurrences
POST,/api/v1/travelservice/trips/left,RemoteDisconnected('Remote end closed connection without response'),27088
GET,/client_login.html,RemoteDisconnected('Remote end closed connection without response'),4778
GET,/api/v1/adminorderservice/adminorder,"ConnectionResetError(104, 'Connection reset by peer')",6
POST,/api/v1/users/login,HTTPError('500 Server Error: Internal Server Error for url: /api/v1/users/login'),17
GET,/adminlogin.html,"ConnectionResetError(104, 'Connection reset by peer')",745
GET,/api/v1/adminorderservice/adminorder,HTTPError('504 Server Error: Gateway Time-out for url: /api/v1/adminorderservice/adminorder'),629
GET,/api/v1/verifycode/generate,"ConnectionResetError(104, 'Connection reset by peer')",6560
GET,/api/v1/adminuserservice/users,"ConnectionResetError(104, 'Connection reset by peer')",40
GET,/index.html,RemoteDisconnected('Remote end closed connection without response'),27259
POST,/api/v1/users/login,RemoteDisconnected('Remote end closed connection without response'),9546
GET,/client_login.html,"ConnectionResetError(104, 'Connection reset by peer')",864
POST,/api/v1/travelservice/trips/left,HTTPError('504 Server Error: Gateway Time-out for url: /api/v1/travelservice/trips/left'),1279
GET,/api/v1/adminuserservice/users,RemoteDisconnected('Remote end closed connection without response'),331
GET,/index.html,"ConnectionResetError(104, 'Connection reset by peer')",4973
POST,/api/v1/users/login,"ConnectionResetError(104, 'Connection reset by peer')",1672
GET,/api/v1/verifycode/generate,RemoteDisconnected('Remote end closed connection without response'),32042
POST,/api/v1/travelservice/trips/left,HTTPError('500 Server Error: Internal Server Error for url: /api/v1/travelservice/trips/left'),27
GET,/api/v1/verifycode/generate,HTTPError('500 Server Error: Internal Server Error for url: /api/v1/verifycode/generate'),10
GET,/adminlogin.html,RemoteDisconnected('Remote end closed connection without response'),4633
POST,/api/v1/travelservice/trips/left,"ConnectionResetError(104, 'Connection reset by peer')",5815
GET,/api/v1/adminorderservice/adminorder,RemoteDisconnected('Remote end closed connection without response'),228
