t,total_power
1749930400.249,2.5835017999999996
1749930405.249,2.208087327272727
1749930410.249,2.6044939818181816
1749930415.249,2.2201435818181814
1749930420.249,2.6209391454545456
1749930425.249,2.2381892545454543
1749930430.249,2.639938618181818
1749930435.249,2.242652109090909
1749930440.249,2.634053818181818
1749930445.249,2.2431631454545453
1749930450.249,2.222652127272727
1749930455.249,2.2267406909090908
1749930460.249,2.2122456
1749930465.249,2.200634436363636
1749930470.249,2.191918745454545
1749930475.249,2.2048246000000002
1749930480.249,2.1887384545454545
1749930485.249,2.2036047272727273
1749930490.249,2.2069708727272728
1749930495.249,2.2233089272727273
1749930500.249,2.212101090909091
1749930505.249,2.6244913999999997
1749930510.249,2.217659381818182
1749930515.249,2.626628054545454
1749930520.249,2.2371391636363636
1749930525.249,2.639585109090909
1749930530.249,2.2485038545454543
1749930535.249,2.656631709090909
1749930540.249,2.238583218181818
1749930545.249,2.6389859454545452
1749930550.249,2.245863981818182
1749930555.249,2.6700409818181816
1749930560.249,2.6892098545454544
1749930565.249,3.099277381818182
1749930570.249,2.6899961454545456
1749930575.249,3.1000553636363635
1749930580.249,2.688784927272727
1749930585.249,3.076321
1749930590.249,2.6719944545454544
1749930595.249,3.0719039818181813
1749930600.249,2.659027309090909
1749930605.249,3.0405793272727273
1749930610.249,2.6319879818181815
1749930615.249,2.625683181818182
1749930620.249,2.6272766545454544
1749930625.249,3.023539236363636
1749930630.249,2.6064823272727273
1749930635.249,3.0023209818181815
1749930640.249,2.603392418181818
1749930645.249,2.994191018181818
1749930650.249,2.5975966
1749930655.249,2.996981327272727
1749930660.249,2.5892178363636362
1749930665.249,2.974465090909091
1749930670.249,2.5545294909090908
1749930675.249,2.144723727272727
1749930680.249,2.134334036363636
1749930685.249,2.1248602727272723
1749930690.249,2.1168928909090905
1749930695.249,2.1425968545454546
1749930700.249,2.1318932
1749930705.249,2.151808090909091
1749930710.249,2.1568980181818183
1749930715.249,2.166930818181818
1749930720.249,2.1698260545454544
1749930725.249,2.1718502727272724
1749930730.249,2.5622596181818182
1749930735.249,2.1790374545454547
1749930740.249,2.5819121636363636
1749930745.249,2.2074234363636362
1749930750.249,2.5860868363636365
1749930755.249,2.2058074
1749930760.249,2.5912524
1749930765.249,2.189669018181818
1749930770.249,2.5863735818181817
1749930775.249,2.1998201999999996
1749930780.249,2.6065584
1749930785.249,2.237328
1749930790.249,2.6598105636363636
1749930795.249,2.2493222
1749930800.249,2.646768727272727
1749930805.249,2.2466661818181817
1749930810.249,2.646679163636364
1749930815.249,2.2333363454545454
1749930820.249,2.6503829454545453
1749930825.249,2.247757618181818
1749930830.249,2.6290572545454545
1749930835.249,2.235846672727273
1749930840.249,2.6204638909090905
1749930845.249,2.186299472727273
1749930850.249,2.614528472727273
1749930855.249,2.211313109090909
1749930860.249,2.601391
1749930865.249,2.1852655090909088
1749930870.249,2.197305327272727
1749930875.249,2.1972878727272724
1749930880.249,2.192405290909091
1749930885.249,2.1870862727272726
1749930890.249,2.1854272363636364
1749930895.249,2.161910363636364
1749930900.249,2.2042714
1749930905.249,2.197408709090909
1749930910.249,2.207729327272727
1749930915.249,2.203488436363636
1749930920.249,2.223947527272727
1749930925.249,2.6201148363636366
1749930930.249,2.1930607636363635
1749930935.249,2.595078436363636
1749930940.249,2.2372058
1749930945.249,2.623301090909091
1749930950.249,2.2498773272727273
1749930955.249,2.6267927636363635
1749930960.249,2.2206524909090906
1749930965.249,2.6192636
1749930970.249,2.2324652727272727
1749930975.249,2.639847
1749930980.249,2.221423109090909
1749930985.249,2.648041436363636
1749930990.249,2.250526127272727
1749930995.249,2.638324236363636
1749931000.249,2.646516127272727
1749931005.249,3.035397818181818
1749931010.249,2.6435600545454543
1749931015.249,3.0434366727272724
1749931020.249,2.6411775636363637
1749931025.249,3.0388450363636363
1749931030.249,3.0238091454545457
1749931035.249,3.4294546545454545
1749931040.249,3.0192875272727275
1749931045.249,3.0054225272727275
1749931050.249,2.9899034545454546
1749931055.249,2.5799975818181817
1749931060.249,2.167942290909091
1749931065.249,2.5606218363636364
1749931070.249,2.549198436363636
1749931075.249,2.570365690909091
1749931080.249,2.567832781818182
1749931085.249,2.172186036363636
1749931090.249,2.1964392545454543
1749931095.249,2.6029590909090907
1749931100.249,3.0119245999999995
1749931105.249,2.6260614545454546
1749931110.249,3.0191490727272727
1749931115.249,3.024307690909091
1749931120.249,2.9967528
1749931125.249,2.627535745454545
1749931130.249,2.9756923454545454
1749931135.249,2.581181618181818
1749931140.249,2.956717327272727
1749931145.249,2.562844090909091
1749931150.249,2.554863727272727
1749931155.249,2.179756727272727
1749931160.249,2.549347
1749931165.249,2.158671181818182
1749931170.249,2.151299363636364
1749931175.249,1.7623974909090907
1749931180.249,2.1294646
1749931185.249,1.7610701090909089
1749931190.249,2.1311485454545456
1749931195.249,1.7769586545454545
1749931200.249,2.140020618181818
1749931205.249,1.7547704181818182
1749931210.249,2.122437636363636
1749931215.249,1.7450275454545454
1749931220.249,2.1121400727272728
1749931225.249,2.149204018181818
1749931230.249,2.5341288545454543
1749931235.249,2.172447418181818
