Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/adminlogin.html,9390,8082,22,50.345395368457446,1.1254670098423958,498.7752349115908,318.29392971246006,30.420504052778256,26.18301530932416,22,56,73,84,120,160,290,380,470,500,500
GET,/api/v1/adminorderservice/adminorder,972,972,60000.0,42796.42187718041,0.8394680917263031,60280.16359079629,134.75,3.148959524952126,3.148959524952126,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
GET,/api/v1/adminuserservice/users,972,417,40,48.742590111837465,0.8749980479478836,457.4168948456645,92633.61111111111,3.148959524952126,1.35094251224798,40,46,52,58,89,120,170,330,460,460,460
GET,/api/v1/assuranceservice/assurances/types,8822,8522,30,55.39844246797401,1.1782585643231869,505.12286415323615,8.562797551575606,28.58037132626302,27.608470238314833,30,67,84,95,130,170,290,370,480,510,510
GET,/api/v1/contactservice/contacts/account/,4127,4127,20,51.36132473678935,1.107851043343544,506.77536986768246,13.454809789193119,13.370119299873894,13.370119299873894,20,60,80,89,130,170,280,350,470,510,510
GET,/api/v1/contactservice/contacts/account/001aeda9-2c16-4b15-8fdf-82547ea49b31,22,21,12,44.787510340525344,1.9013811834156513,424.6843960136175,9.409090909090908,0.07127274644953371,0.06803307615637309,17,34,50,59,66,110,420,420,420,420,420
GET,/api/v1/contactservice/contacts/account/0120f772-34ad-4b90-a76e-edc368f9bd38,7,6,19,45.175001823476386,10.070548858493567,134.6617927774787,29.571428571428573,0.022677692052124363,0.019438021758963742,19,38,83,83,130,130,130,130,130,130,130
GET,/api/v1/contactservice/contacts/account/02ba564c-1a2b-462d-a60b-02c6182f9201,17,15,23,51.97120348320288,1.3681259006261826,180.8637147769332,24.352941176470587,0.0550743949837306,0.048595054397409354,23,75,89,110,140,180,180,180,180,180,180
GET,/api/v1/contactservice/contacts/account/0398a111-e384-4259-b46a-cde565bc27a6,13,12,11,20.565863985281723,2.5443793274462223,83.97949021309614,15.923076923076923,0.042115713811088105,0.038876043517927485,11,20,20,34,52,84,84,84,84,84,84
GET,/api/v1/contactservice/contacts/account/05081d32-804b-47b6-926f-66073e71cd20,9,9,64,66.06287162543998,8.625996299088001,139.31605033576488,0.0,0.029157032638445612,0.029157032638445612,64,66,66,120,140,140,140,140,140,140,140
GET,/api/v1/contactservice/contacts/account/05940e42-b1d5-438e-8988-606923593564,11,10,66,61.55032038011334,2.9448349960148335,151.1101322248578,18.818181818181817,0.03563637322476686,0.032396702931606236,66,84,88,88,95,150,150,150,150,150,150
GET,/api/v1/contactservice/contacts/account/064b17d9-3ac2-45e1-b7f3-6c3bd59e2de1,26,24,52,76.73304504714906,1.5521473251283169,422.148865647614,15.923076923076923,0.08423142762217621,0.07775208703585497,57,82,110,120,170,280,420,420,420,420,420
GET,/api/v1/contactservice/contacts/account/06ad48dd-1397-49a2-8588-9691c5100187,4,4,4,4.889218136668205,2.6974608190357685,7.1885846555233,0.0,0.012958681172642494,0.012958681172642494,5,5,7,7,7,7,7,7,7,7,7
GET,/api/v1/contactservice/contacts/account/0704a535-6167-407f-b6df-490f73a4ba55,6,3,89,109.01313081073265,4.299215041100979,363.0995862185955,103.5,0.019438021758963742,0.009719010879481871,93,93,97,97,360,360,360,360,360,360,360
GET,/api/v1/contactservice/contacts/account/0811815c-687f-40df-9e6d-7f254687e129,6,6,31,68.56997388725479,3.5666809417307377,163.6905842460692,0.0,0.019438021758963742,0.019438021758963742,72,72,130,130,160,160,160,160,160,160,160
GET,/api/v1/contactservice/contacts/account/0894d8d5-cc33-4d92-b9fd-816a5d902f48,12,11,11,37.558197897548474,3.1924047507345676,129.48180409148335,17.25,0.038876043517927485,0.03563637322476686,19,31,73,73,110,130,130,130,130,130,130
GET,/api/v1/contactservice/contacts/account/09c4cf80-ceaf-44da-a0e1-8e05606658b5,4,4,86,102.39582601934671,78.58577184379101,150.0974171794951,0.0,0.012958681172642494,0.012958681172642494,95,95,150,150,150,150,150,150,150,150,150
GET,/api/v1/contactservice/contacts/account/09fe7c77-3f32-4e63-9340-96bbc4fa9c4a,16,16,8,64.39700376358815,1.9265380688011646,348.68329716846347,0.0,0.051834724690569975,0.051834724690569975,8,87,99,99,210,350,350,350,350,350,350
GET,/api/v1/contactservice/contacts/account/0a017525-24b1-4217-a696-d5681bb82ffa,12,11,53,105.44101692115267,2.366030588746071,376.72508927062154,17.25,0.038876043517927485,0.03563637322476686,83,85,140,140,340,380,380,380,380,380,380
GET,/api/v1/contactservice/contacts/account/0a1029a4-4400-44be-82a0-633a7b483b9e,9,8,27,39.96849965511097,2.369617111980915,103.10816019773483,23.0,0.029157032638445612,0.025917362345284987,27,64,69,73,100,100,100,100,100,100,100
GET,/api/v1/contactservice/contacts/account/0b322604-f62f-43fd-9a5d-6e94f32485f0,6,6,24,51.338072710980974,2.6745167560875416,138.39060394093394,0.0,0.019438021758963742,0.019438021758963742,63,63,76,76,140,140,140,140,140,140,140
GET,/api/v1/contactservice/contacts/account/0bb2aacd-4887-4c5e-9641-13022f5ca601,14,14,44,54.66419508281563,1.7584888264536858,161.65287466719747,0.0,0.045355384104248726,0.045355384104248726,71,78,79,83,150,160,160,160,160,160,160
GET,/api/v1/contactservice/contacts/account/0bcd0e92-98b4-4fef-a66b-8f49bfbb25cc,9,9,4,50.06461549136374,2.141488716006279,127.72315181791782,0.0,0.029157032638445612,0.029157032638445612,4,86,95,120,130,130,130,130,130,130,130
GET,/api/v1/contactservice/contacts/account/0c65860b-7ab5-4bc4-b56e-021012c9afe9,10,10,17,19.28089619614184,4.517074674367905,40.978502947837114,0.0,0.032396702931606236,0.032396702931606236,20,26,29,34,41,41,41,41,41,41,41
GET,/api/v1/contactservice/contacts/account/0e5af439-73a7-4704-afbc-e8769c43700e,11,11,7,30.342286071655426,1.506331842392683,120.31135987490416,0.0,0.03563637322476686,0.03563637322476686,7,42,56,56,68,120,120,120,120,120,120
GET,/api/v1/contactservice/contacts/account/0f2ca810-3dfb-420d-9b8d-c7fec0a3e5bf,12,11,74,86.67224637853603,5.6512486189603806,171.39810463413596,17.25,0.038876043517927485,0.03563637322476686,79,96,140,140,160,170,170,170,170,170,170
GET,/api/v1/contactservice/contacts/account/10a8c2a3-3df0-4b5b-90dd-4718bdabc068,19,18,18,54.355199007611525,2.343632746487856,421.7217401601374,10.894736842105264,0.061553735570051844,0.058314065276891223,18,42,71,83,110,420,420,420,420,420,420
