Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/adminlogin.html,478,0,4,4.7493076281209,1.2598480097949505,37.067039869725704,2285.0,1.5484575661571809,0.0,4,4,6,7,9,11,13,17,37,37,37
GET,/api/v1/adminorderservice/adminorder,400,400,60001.14308856428,60004.308213350596,60001.14308856428,60015.10416623205,189.0,1.2957803900896911,1.2957803900896911,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
GET,/api/v1/adminuserservice/users,400,0,28,29.85295134363696,21.13584289327264,63.317335210740566,162234.0,1.2957803900896911,0.0,28,30,32,33,38,43,49,51,63,63,63
POST,/api/v1/travel2service/trips/left,2343,0,30,30.110760432132608,13.754387851804495,66.57593604177237,43.70806658130602,7.590033634950366,0.0,30,33,34,35,37,39,41,43,49,67,67
POST,/api/v1/travelservice/trips/left,2343,0,29,29.068934898926848,14.45795502513647,64.23862790688872,43.24967989756722,7.590033634950366,0.0,29,32,34,35,37,39,41,43,62,64,64
POST,/api/v1/users/login,877,0,130.0,134.2504033494949,102.18089679256082,175.31108716502786,339.1801596351197,2.840998505271648,0.0,130,130,140,140,140,150,160,160,180,180,180
GET,/api/v1/verifycode/generate,2743,0,6,5.719378319980779,2.6884949766099453,40.37722898647189,1250.105723660226,8.885814025040057,0.0,6,6,6,7,7,8,9,9,16,40,40
GET,/client_login.html,400,0,3,3.106408886378631,0.977594405412674,30.46996286138892,12241.0,1.2957803900896911,0.0,3,3,3,4,5,6,8,9,30,30,30
GET,/index.html,2343,0,4,3.9891382924595478,1.234299037605524,37.015391048043966,18128.0,7.590033634950366,0.0,4,4,5,5,6,8,9,11,13,37,37
,Aggregated,12327,400,19,1971.1695979660587,0.977594405412674,60015.10416623205,9520.724993915795,39.93271217158906,1.2957803900896911,19,29,32,34,130,140,60000,60000,60000,60000,60000
