Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1749219803,100,,Aggregated,70.900000,5.500000,26,31,40,51,61,68,72,76,99,99,99,1799,101,26,28.528334213246804,2.0782609935849905,99.21474102884531,3937.389660922735
1749219804,100,,Aggregated,72.000000,5.700000,26,31,40,51,61,68,72,76,99,99,99,1882,108,26,28.53210187874889,2.0782609935849905,99.21474102884531,3979.135494155154
1749219805,100,,Aggregated,72.900000,6.100000,26,31,39,51,61,68,72,76,99,99,99,1951,114,26,28.433093154800055,2.0034799817949533,99.21474102884531,3986.339313172732
1749219806,100,,Aggregated,74.500000,6.200000,26,31,39,51,61,68,73,75,91,99,99,2039,125,26,28.428907350871334,2.0034799817949533,99.21474102884531,3982.777832270721
1749219807,100,,Aggregated,76.600000,6.600000,26,31,39,51,61,68,72,75,91,99,99,2115,131,26,28.40778177392715,2.0034799817949533,99.21474102884531,3954.668557919622
1749219808,100,,Aggregated,76.600000,6.800000,26,31,39,50,61,68,72,75,91,99,99,2193,134,26,28.30566332515837,2.0034799817949533,99.21474102884531,3978.505243958048
1749219809,100,,Aggregated,77.100000,7.100000,26,31,39,50,61,68,72,75,91,99,99,2262,141,26,28.32073649077797,2.0034799817949533,99.21474102884531,3957.6489832007073
1749219810,100,,Aggregated,77.300000,7.000000,26,31,38,50,61,67,72,75,91,99,99,2344,148,26,28.229182668021522,2.0034799817949533,99.21474102884531,3988.2662116040956
1749219811,100,,Aggregated,77.600000,6.700000,26,31,37,50,61,67,72,75,91,99,99,2426,154,26,28.129837792044274,2.0034799817949533,99.21474102884531,3978.3281121187138
1749219812,100,,Aggregated,76.400000,6.600000,26,31,37,50,61,67,72,75,91,99,99,2495,160,26,28.1210703307759,2.0034799817949533,99.21474102884531,3948.5871743486973
1749219813,100,,Aggregated,77.600000,6.700000,26,31,37,49,61,68,72,75,91,99,99,2581,168,26,28.11089607635105,2.0034799817949533,99.21474102884531,3948.8500581170088
1749219814,100,,Aggregated,79.000000,6.900000,26,31,37,49,61,68,72,75,91,99,99,2653,172,26,28.05524392076654,2.0034799817949533,99.21474102884531,3952.5846211835656
1749219815,100,,Aggregated,77.800000,6.700000,26,31,36,49,61,68,72,75,91,99,99,2711,176,26,28.029163084801922,2.0034799817949533,99.21474102884531,3922.857248247879
1749219816,100,,Aggregated,78.200000,6.700000,26,30,36,48,61,68,72,75,91,99,99,2787,181,26,27.95319438572461,1.9875871948897839,99.21474102884531,3933.0348044492284
1749219817,100,,Aggregated,77.100000,6.400000,26,30,36,48,61,68,72,75,91,99,99,2871,190,26,27.986419022304517,1.9875871948897839,99.21474102884531,3927.777777777778
1749219818,100,,Aggregated,76.100000,6.200000,26,30,36,48,61,68,72,75,91,99,99,2958,197,26,27.897851329981307,1.9875871948897839,99.21474102884531,3944.9313725490197
1749219819,100,,Aggregated,74.800000,5.600000,26,30,36,48,61,68,72,75,87,99,99,3030,205,26,27.861538344130487,1.9875871948897839,99.21474102884531,3949.3108910891087
1749219820,100,,Aggregated,75.700000,5.900000,26,30,36,48,60,68,72,75,87,99,99,3105,212,26,27.82797941018718,1.9875871948897839,99.21474102884531,3963.1133655394524
1749219821,100,,Aggregated,76.700000,6.300000,26,30,36,48,61,68,72,75,91,99,99,3177,219,26,27.830482538241917,1.9875871948897839,99.21474102884531,3951.0056657223795
1749219822,100,,Aggregated,77.000000,6.400000,26,30,36,48,61,68,73,76,99,110,110,3260,227,26,27.924546917994718,1.9875871948897839,105.53698893636465,3931.6564417177915
1749219823,100,,Aggregated,76.600000,6.400000,26,30,35,48,61,68,73,76,99,110,110,3338,232,26,27.83819866897354,1.9875871948897839,105.53698893636465,3943.4550629119235
1749219824,100,,Aggregated,75.800000,6.500000,26,30,35,47,60,68,73,75,99,110,110,3402,235,26,27.765306702451994,1.9875871948897839,105.53698893636465,3950.47442680776
1749219825,100,,Aggregated,77.400000,6.700000,26,30,35,47,60,68,73,76,99,110,110,3467,241,26,27.770631165529235,1.9875871948897839,105.53698893636465,3947.979809633689
1749219826,100,,Aggregated,76.900000,6.400000,26,30,35,47,60,68,73,76,99,110,110,3563,252,26,27.743412273089863,1.9875871948897839,105.53698893636465,3961.041257367387
1749219827,100,,Aggregated,76.400000,6.400000,26,30,35,47,60,68,73,76,99,110,110,3629,257,26,27.715834956367228,1.9875871948897839,105.53698893636465,3970.027280242491
1749219828,100,,Aggregated,77.800000,6.700000,26,30,35,47,60,68,73,76,99,110,110,3695,263,26,27.68509467415945,1.9875871948897839,105.53698893636465,3958.2389715832205
1749219829,100,,Aggregated,79.500000,7.200000,26,30,35,46,60,68,73,76,99,110,110,3771,270,26,27.630169686061894,1.9875871948897839,105.53698893636465,3968.7342879872713
1749219830,100,,Aggregated,77.900000,6.800000,26,30,35,46,60,68,73,76,99,110,110,3850,276,26,27.627723034072137,1.9875871948897839,105.53698893636465,3957.562077922078
1749219831,100,,Aggregated,75.800000,6.800000,25,30,35,45,60,68,73,76,99,110,110,3907,279,25,27.562033762680503,1.9875871948897839,105.53698893636465,3962.2247248528283
1749219832,100,,Aggregated,77.500000,6.800000,25,30,35,45,60,68,73,76,99,110,110,3988,285,25,27.55887556601355,1.6963949892669916,105.53698893636465,3974.5977933801405
1749219833,100,,Aggregated,76.000000,6.500000,25,30,35,46,61,68,73,76,97,110,110,4065,296,25,27.632374931378852,1.6963949892669916,105.53698893636465,3969.129397293973
