Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/adminlogin.html,472,0,4,4.821481249271497,1.1395900510251522,34.2757198959589,2285.0,1.5285430746308868,0.0,4,5,6,7,9,11,13,15,34,34,34
GET,/api/v1/adminorderservice/adminorder,399,399,60001.29485409707,60006.600643427606,60001.29485409707,60020.86421800777,189.0,1.2921370482578896,1.2921370482578896,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
GET,/api/v1/adminuserservice/users,399,0,28,30.566998096859844,19.21977661550045,67.25325295701623,162234.0,1.2921370482578896,0.0,28,31,32,33,41,49,57,62,67,67,67
POST,/api/v1/travel2service/trips/left,2381,0,29,29.256660283919846,13.906864915043116,66.4024488069117,43.70264594708106,7.710722586220639,0.0,29,32,33,34,36,38,40,42,61,66,66
POST,/api/v1/travelservice/trips/left,2381,0,29,28.381286131852516,14.559808187186718,78.45538901165128,43.254094918101636,7.710722586220639,0.0,29,31,32,33,35,38,41,43,73,78,78
POST,/api/v1/users/login,871,0,130.0,134.33770655550654,98.11875782907009,173.35826018825173,339.1676234213548,2.8206801228887763,0.0,130,130,140,140,140,150,150,160,170,170,170
GET,/api/v1/verifycode/generate,2780,0,5,5.726204718724429,2.6974640786647797,46.48536583408713,1248.3845323741007,9.002859634478527,0.0,5,6,6,7,7,8,9,11,20,46,46
GET,/client_login.html,399,0,3,3.1387267568916606,0.9828773327171803,33.805732149630785,12241.0,1.2921370482578896,0.0,3,3,4,4,6,7,8,9,34,34,34
GET,/index.html,2381,0,4,4.017217612228052,1.202993094921112,43.616277165710926,18128.0,7.710722586220639,0.0,4,4,5,5,6,8,10,11,16,44,44
,Aggregated,12463,399,19,1944.8034917092584,0.9828773327171803,60020.86421800777,9460.418197865682,40.36066173543377,1.2921370482578896,19,28,31,33,130,140,60000,60000,60000,60000,60000
