time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_memory,carts-db_memory,catalogue_memory,catalogue-db_memory,front-end_memory,orders_memory,orders-db_memory,payment_memory,queue-master_memory,rabbitmq_memory,shipping_memory,user_memory,user-db_memory,carts_memory_rss,carts-db_memory_rss,catalogue_memory_rss,catalogue-db_memory_rss,front-end_memory_rss,orders_memory_rss,orders-db_memory_rss,payment_memory_rss,queue-master_memory_rss,rabbitmq_memory_rss,shipping_memory_rss,user_memory_rss,user-db_memory_rss,carts_memory_cache,carts-db_memory_cache,catalogue_memory_cache,catalogue-db_memory_cache,front-end_memory_cache,orders_memory_cache,orders-db_memory_cache,payment_memory_cache,queue-master_memory_cache,rabbitmq_memory_cache,shipping_memory_cache,user_memory_cache,user-db_memory_cache,carts-db_disk,catalogue-db_disk,front-end_disk,orders-db_disk,rabbitmq_disk,user-db_disk,carts_power,carts-db_power,catalogue_power,catalogue-db_power,front-end_power,orders_power,orders-db_power,payment_power,queue-master_power,rabbitmq_power,shipping_power,user_power,user-db_power,145.108.225.17:10684_host_power
1749147321.482,0.042426489764928466,0.02111560878319525,0.007539538105941943,0.003801943553748876,0.02588564895554896,0.0024083175152694106,0.005311666839526347,0.0034214305277594143,0.0012930598340690155,0.09762404387418863,0.00186966692205269,0.007947080297438656,0.007866967772267437,15487473.154669348,19909451.74865767,1333750.2238301449,2118.3598079054304,14179872.732679155,28870530.044046473,3575375.4157576626,833408.939292862,108333389.93791324,9037130.566230172,6255592.258158669,1254385.8485351023,4596304.209148399,374.64556846245307,297.199245392541,384760.10890021746,4681877.798300702,101242.93785310735,1559.1364715691782,0,0,0,7659587.884969131,0,388133.59724674124,754798.5766699238,0,1188.796981570164,0,0,0,0,0,0,0,0,0,0,103006.02887221372,0,0,0,0,0,0,0.007366377068798236,0.0028379450500906262,0.0011605922608696998,0.000658996305464666,0.004288840196796771,0.0004250638539424828,0.00046300534245313096,0.0005215942842728683,0.00018909427387364694,0.011146738708739574,0.0002867039026769016,0.0011239210201788043,0.000981072480795497,3.047476381818182
1749147326.482,0.07914993001874986,0.03440858059473928,0.013480266471843264,0.007426810122181825,0.055459340626420925,0.004039225653848145,0.005192698417030515,0.0029646450171062324,0.0013050339296288205,0.09821543918593784,0.0018849343983622449,0.01157726924619057,0.009600210243272022,15568881.991689036,16629241.820561294,1318236.8359718162,8892047.995317532,18435309.52337721,21489080.404360186,4363029.985443959,827321.7819961006,106133016.77641614,11473043.774283072,6268169.990312381,1297151.2721440548,5431789.684053705,3840.988489684845,297.80427511996515,382230.66855513916,4636918.934738075,4508612.038129822,1547.2173256106776,0,0,0,9723775.171137836,0,409316.3228111103,1487005.5413237403,0,2010.1788570597648,0,0,0,0,0,0,0,0,0,0,101505.1325375629,0,0,0,0,0,0,0.013390054209212257,0.003982239607000531,0.0014719003560023963,0.0008842532985161814,0.0053949866316813175,0.0005722377622281141,0.0005222414275130302,0.0004984621977136953,0.00018165656576795016,0.011611428061265973,0.0002281091413315647,0.0012300017602255868,0.0009270028691481788,2.4972737272727272
1749147331.482,0.11805083389844678,0.056994311752386534,0.01807364935339862,0.011286531752812589,0.08634362766915069,0.008062713406624993,0.005245242974907226,0.0035156661135860062,0.001303733339526212,0.09879089200899535,0.0018884688990029976,0.015625546621795026,0.01160019765969713,15776215.805357873,16655823.759672279,1297573.7195885747,8838760.3585259,18389227.323466923,21497643.413642336,4342227.520608751,541262.6832831352,146522956.69298652,13718382.771590827,6193565.091749747,1324004.2433332114,4506177.819576069,3891.6502105145496,372.8720983158853,376495.82752597873,9217954.802465321,4565024.521983364,1547.6905914317074,0,443.2340793911302,0,9690427.907662809,0,411517.86955408426,1480255.2267959197,0,3281.2744651797902,0,0,0,0,0,0,0,0,0,0,101044.34637922303,0,0,0,0,0,0,0.02034878168488715,0.005965774220493622,0.0021259522755253395,0.0013210718750520376,0.006953452065390379,0.0011433443799896503,0.0005715958463954155,0.000576059151742878,0.00022848482510445906,0.011764975283905523,0.0002881752842913382,0.0016676987429711171,0.0011521287483518864,2.517473363636363
1749147336.482,0.16563248943843228,0.08769198127601592,0.02603465409759235,0.017255223711564783,0.10925710801317075,0.011796439567014393,0.005159290653779442,0.0038235487570997067,0.0013432237938595436,0.0995278855460601,0.0018978650521515505,0.022837645009517314,0.014141831113061186,23364488.99683521,16779485.7048543,1768246.4694622024,17729687.712003503,18715183.022319797,14444653.32172904,3641469.8641378684,553429.8148557941,108095476.02339183,13739317.152402224,6154037.2331831325,1316860.3957906833,5454147.762366829,3843.674100242879,450.6959599479176,385382.30938707694,9246364.810154283,4673231.759970729,1559.6170583115752,0,453.19761009072806,0,9700622.89817088,0,418308.9465933987,2236733.5124170827,0,4582.075592803829,0,0,0,0,0,0,0,0,0,0,102169.83717997918,0,0,0,0,0,0,0.020624860059012897,0.00822468754251061,0.0024965660517766316,0.0016260463477466428,0.009278984270027952,0.0019724896555970597,0.0005643396764516526,0.000664749700300267,0.0002035563567603261,0.010256832380432866,0.0003254908758283209,0.0029156656979148926,0.0011462381464521984,1.9697731272727272
1749147341.482,0.22269616599219796,0.11239320512821195,0.036050198862923134,0.024021522030355395,0.14969366750049307,0.017377874874177725,0.00524204398884641,0.003961579767697887,0.0013629860174734993,0.09827948254188926,0.0019258087882532112,0.028607068796067583,0.0158512882711558,23043670.08438436,19694990.29265579,1320325.8424951124,26256675.00945316,18686853.807529867,7307448.106733039,2858912.2367997714,562506.0312843747,109255517.24265316,15868061.610421881,0,1780715.1322445439,5565037.269049351,3790.8719716904097,2625494.0338411294,384498.16166579974,9129322.217620686,4641049.322964816,1574.2025219157774,0,1069.1127393403808,0,9606003.471524363,0,420907.06749530276,2282021.142122043,0,5659.184295993253,0,0,0,0,0,0,0,0,0,0,229.09558700151018,0,0,0,0,0,0,0.022030158976673153,0.015184483198231052,0.004580045789685432,0.003114646982986276,0.009562435763447955,0.00245297614313184,0.0006172495383840391,0.00069695054604607,0.00020431217247322307,0.01266655134776024,0.00030339318289091433,0.0035308710772535483,0.0012060210065101698,1.9827675999999999
1749147346.482,0.26297588734833305,0.138734380789919,0.04275288382018515,0.029755050160687347,0.18386411073094935,0.0218754193175864,0.0051349559259860735,0.004738708998271446,0.0013850214936315935,0.09716522641167673,0.0019339423596407993,0.03515368557356364,0.01915786931262662,22896922.849467214,16517679.338604279,1291633.5140808115,26627515.302023232,18907924.39849968,14392354.089605024,2159402.4203844564,823150.2865981258,146004853.08056873,15728111.847585931,0,1807199.068684517,6416066.985116467,3766.4028271099655,2645490.4509188053,378863.8796571628,9258408.00525893,4723945.915286798,1552.047057974414,0,1341.6067691747794,0,9521282.48035061,0,41667.91439061521,2258424.1530034486,0,6802.267229863893,0,0,0,0,0,0,0,0,0,0,226.6280592390402,0,0,0,0,0,0,0.03430109012220481,0.015430928142241847,0.00471133147515459,0.003223083478515589,0.009675455596119495,0.002958815604489495,0.0005466173936088239,0.0007145126951104163,0.00016847042346731733,0.013266560732012989,0.0002679018887913354,0.0037585305261414663,0.0012084576888342082,1.4146398
1749147351.482,0.3218020668662718,0.16181073796772627,0.05078677922624021,0.03519091750790076,0.21370975057429584,0.027821722115436383,0.00533756379144235,0.004619920062087641,0.0013827355408388294,0.09641368521146859,0.0019466090454091142,0.042326931246670724,0.021570805274277016,15663483.10785836,13208316.653142188,1298229.3243622093,26333711.024830703,14282531.704649044,7315619.309132847,2853941.8293422787,561982.3715283553,145080907.72626933,15802563.00502293,0,2316860.8952811304,5430251.038100095,3860.72299844755,2644617.798214769,379514.43790299975,9156252.027088037,4735080.546946217,1574.605964083695,0,2043.57226010311,0,9565234.913008662,0,42734.850572179064,2230167.115902965,0,7829.339103777838,0,0,0,0,95672.24581563826,0,0,0,0,0,74.5975085597727,0,0,0,0,0,0,0.03661637117662248,0.015886700723623734,0.004792770765667902,0.0032629438177439077,0.018487875847676992,0.004106997070947146,0.0005099322799224527,0.0007979921442154191,0.00021249026861461365,0.013870603978467563,0.00023077999439022486,0.005397005033094992,0.0021017006105086256,1.4118479454545454
1749147356.482,0.3762067571688899,0.1931627880122791,0.05953705364724623,0.04123657292416772,0.2542307789587326,0.03252602315839623,0.005240928585867978,0.005468650197944271,0.0014080730356586784,0.09453854334518959,0.0019631049262152215,0.048990153187088416,0.024180144383050127,23401371.272814333,13223224.986459648,1804935.9841099184,26927159.511807825,14387402.312307918,7314986.81105603,3671533.510980428,808234.479575352,144142621.7535138,15678122.099637061,6199259.259259259,2329129.182362065,6422514.072404043,3847.284380352505,2647943.0944213755,394694.46216083237,9361831.939289868,4811286.40421484,1573.453820403534,0,2181.4695805002752,0,9489560.968563227,0,42959.7459191964,2263007.262580156,0,9317.494132514894,0,0,0,0,98532.83102085821,0,0,0,0,0,75.69345628592019,0,0,0,0,0,0,0.03734469744695964,0.023463674016176744,0.007144153337150725,0.003281889778916921,0.01968085241516681,0.00449517408725174,0.0005440676444188237,0.0009219881958871927,0.00018553810571550288,0.016063706491295758,0.00022227676983564286,0.005822524670962963,0.0020031105171561133,0.8452976727272727
1749147361.482,0.42098100042051445,0.21568840176182127,0.0675720041072954,0.04712760851283581,0.2883154680218306,0.0359147312260788,0.005348081678804896,0.005473792047405514,0.0014438924501423934,0.09267072689433063,0.001972488506703439,0.05522672347047066,0.02619444059078716,23233557.43669439,16558260.03907098,1784542.8833924807,35858506.93419888,9699320.869675593,14348623.119912308,2845735.002403889,840961.2523305828,108022088.39213966,13472539.153410427,6339312.732316229,2273656.154994693,5317345.811083528,3819.288783252582,5297742.2762462925,390186.59364810574,9350609.619356742,4776054.690191669,1545.688152527449,0,2873.2716767274,0,7612480.156360281,0,41852.308910036154,2187025.3781722714,0,10520.801678605023,0,0,0,0,95691.73240264249,0,0,0,0,0,73.15200114300002,0,0,0,0,0,0,0.05106938699762981,0.023839264597309222,0.007426330871171073,0.0033688168449672786,0.020365143110088253,0.005768289592060293,0.0005283640016081476,0.000923762655285859,0.00015045647591719436,0.016286943953760794,0.00019629599320895324,0.007796450435013327,0.001968313051375558,0.2843265636363636
1749147366.482,0.46167047503710235,0.24302810284444476,0.07761766385362605,0.052941977150149894,0.31967501870248416,0.04225373654250995,0.005289565667477221,0.006339318021201276,0.0014639877519775463,0.09137563285146934,0.0020068350589800385,0.06182094530080004,0.029024800190739313,23270226.92878474,13354039.249986334,1780696.8918894657,34957825.3991083,14849164.992507908,14616051.395625515,2159829.7596543347,834438.41886523,107805516.5676375,11255772.042152613,6338023.44414451,2764055.6671658694,5351709.643172044,3827.265898389549,5339078.044425008,388911.4969565296,9115264.202502517,4873116.303161478,1574.3754003843692,0,3149.673190647943,0,5725395.67953857,0,39423.45764692991,2203554.100012596,0,11792.634705442884,0,0,0,0,96749.51840849764,0,0,0,0,0,73.70485667500405,0,0,0,0,0,0,0.053030522439953286,0.031565745850465676,0.009757756983160415,0.005018259565987748,0.0299336113423429,0.006160784290660419,0.000601709305649613,0.0010982893579999803,0.00014453852119778474,0.01481484360910827,0.00016038095859546882,0.007900811928604725,0.0018647088907659693,0.2866452363636363
