Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/adminlogin.html,481,0,3,4.546345533946385,1.1280453763902187,34.76416924968362,2285.0,1.5575821598904627,0.0,3,4,5,6,8,11,14,15,35,35,35
GET,/api/v1/adminorderservice/adminorder,400,400,60000.95870764926,60005.93510538922,60000.95870764926,60024.58979282528,189.0,1.2952866194515282,1.2952866194515282,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
GET,/api/v1/adminuserservice/users,400,0,28,30.65339287626557,19.134663976728916,81.24503307044506,162234.0,1.2952866194515282,0.0,28,30,32,34,42,49,67,73,81,81,81
POST,/api/v1/travel2service/trips/left,2317,0,30,29.760375318877532,14.438242185860872,69.35550086200237,43.712127751402676,7.502947743172977,0.0,30,32,33,34,36,38,40,43,56,69,69
POST,/api/v1/travelservice/trips/left,2317,0,29,28.902110884052107,14.684800058603287,62.53837188705802,43.28916702632715,7.502947743172977,0.0,29,32,33,34,36,38,42,45,58,63,63
POST,/api/v1/users/login,881,0,130.0,134.08175702698352,96.6739128343761,175.33641401678324,339.1838819523269,2.852868779341991,0.0,130,130,140,140,140,150,160,160,180,180,180
GET,/api/v1/verifycode/generate,2717,0,6,5.791075681745841,2.7245269156992435,40.70191644132137,1250.8546190651455,8.798234362624505,0.0,6,6,6,7,7,8,9,10,33,41,41
GET,/client_login.html,400,0,3,3.032952568028122,0.9951889514923096,9.96057502925396,12241.0,1.2952866194515282,0.0,3,3,4,4,5,6,8,8,10,10,10
GET,/index.html,2317,0,4,3.9309049338700444,1.2104748748242855,14.421926811337471,18128.0,7.502947743172977,0.0,4,4,5,5,6,7,9,10,12,14,14
,Aggregated,12230,400,19,1986.6659558763101,0.9951889514923096,60024.58979282528,9555.70204415372,39.603388389730476,1.2952866194515282,19,28,32,34,130,140,60000,60000,60000,60000,60000
