Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/adminlogin.html,483,0,4,4.833415350211518,1.234367024153471,40.05987802520394,2285.0,1.564382354906839,0.0,4,4,6,6,9,12,14,18,40,40,40
GET,/api/v1/adminorderservice/adminorder,398,398,60001.17410207167,60004.34407352203,60001.17410207167,60013.33744870499,189.0,1.2890769715381407,1.2890769715381407,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
GET,/api/v1/adminuserservice/users,398,0,28,29.90195707619265,20.261531230062246,66.30453607067466,162234.0,1.2890769715381407,0.0,28,30,32,34,38,43,48,50,66,66,66
POST,/api/v1/travel2service/trips/left,2338,0,30,29.984617965707,14.378595165908337,70.18558168783784,43.69803250641574,7.572517486070787,0.0,30,33,34,35,37,38,40,43,53,70,70
POST,/api/v1/travelservice/trips/left,2338,0,29,28.801871772171967,15.007353853434324,56.6430538892746,43.41488451668092,7.572517486070787,0.0,29,32,33,34,36,38,41,44,54,57,57
POST,/api/v1/users/login,879,0,130.0,134.3974343334686,97.89673797786236,179.6861649490893,339.18885096700797,2.8469815527186575,0.0,130,130,140,140,140,150,160,160,180,180,180
GET,/api/v1/verifycode/generate,2736,0,6,5.73589354539045,2.8516738675534725,36.350352223962545,1249.607456140351,8.861594457608927,0.0,6,6,6,7,7,8,9,10,18,36,36
GET,/client_login.html,398,0,3,3.109197388520118,1.1178120039403439,34.83095113188028,12241.0,1.2890769715381407,0.0,3,3,3,4,5,7,8,8,35,35,35
GET,/index.html,2338,0,4,4.004876615505083,1.2396760284900665,37.23102901130915,18128.0,7.572517486070787,0.0,4,4,5,5,6,8,10,11,14,37,37
,Aggregated,12306,398,19,1964.7193957749387,1.1178120039403439,60013.33744870499,9501.376076710547,39.85774173806121,1.2890769715381407,19,29,32,34,130,140,60000,60000,60000,60000,60000
