Method,Name,Error,Occurrences
POST,/api/v1/travelservice/trips/left,RemoteDisconnected('Remote end closed connection without response'),27081
GET,/client_login.html,RemoteDisconnected('Remote end closed connection without response'),4801
GET,/api/v1/adminorderservice/adminorder,"ConnectionResetError(104, 'Connection reset by peer')",10
POST,/api/v1/users/login,HTTPError('500 Server Error: Internal Server Error for url: /api/v1/users/login'),9
GET,/adminlogin.html,"ConnectionResetError(104, 'Connection reset by peer')",677
GET,/api/v1/adminorderservice/adminorder,HTTPError('504 Server Error: Gateway Time-out for url: /api/v1/adminorderservice/adminorder'),575
GET,/api/v1/verifycode/generate,"ConnectionResetError(104, 'Connection reset by peer')",6303
GET,/api/v1/adminuserservice/users,"ConnectionResetError(104, 'Connection reset by peer')",24
GET,/index.html,RemoteDisconnected('Remote end closed connection without response'),27379
POST,/api/v1/users/login,RemoteDisconnected('Remote end closed connection without response'),9459
GET,/client_login.html,"ConnectionResetError(104, 'Connection reset by peer')",796
POST,/api/v1/travelservice/trips/left,HTTPError('504 Server Error: Gateway Time-out for url: /api/v1/travelservice/trips/left'),1348
GET,/api/v1/adminuserservice/users,RemoteDisconnected('Remote end closed connection without response'),298
GET,/index.html,"ConnectionResetError(104, 'Connection reset by peer')",4648
POST,/api/v1/users/login,"ConnectionResetError(104, 'Connection reset by peer')",1559
GET,/api/v1/verifycode/generate,RemoteDisconnected('Remote end closed connection without response'),31875
POST,/api/v1/travelservice/trips/left,HTTPError('500 Server Error: Internal Server Error for url: /api/v1/travelservice/trips/left'),21
GET,/api/v1/verifycode/generate,HTTPError('500 Server Error: Internal Server Error for url: /api/v1/verifycode/generate'),14
GET,/adminlogin.html,RemoteDisconnected('Remote end closed connection without response'),4653
POST,/api/v1/travelservice/trips/left,"ConnectionResetError(104, 'Connection reset by peer')",5530
GET,/api/v1/adminorderservice/adminorder,RemoteDisconnected('Remote end closed connection without response'),226
